item,owner,sla_date,warn_date,if_miss,escalation,severity
H51/H78 sign session,Янина,2026-08-01,2026-07-31,Wave B frozen; gate stuck 18,Повторная встреча,CRITICAL
E02 IM soft-slice Accept,Сливяк/Мамушкина,2026-08-04,2026-08-02,Gate не +2,Янина force-decide,HIGH
E08 core−card Path A,Янина/Сливяк,2026-08-04,2026-08-02,BANK path stuck ≤24,Повторный блок на встрече,HIGH
TAX Salon UFK perimeter + 36k,Сливяк/Янина,2026-08-06,2026-08-04,TAX→27 blocked; SOFT months remain,Янина perimeter decide,HIGH
E07 overbank confirm,Сливяк,2026-08-08,2026-08-05,IM OVERBANK path blocked,Банк/IT выписка,HIGH
B2B top-3 calls,Коптева,2026-08-08,2026-08-06,2.07M idle,Янина + претензия,HIGH
DDS June 2026 file,Сливяк,2026-08-12,2026-08-10,BANK 2026-06 BLOCKED,Мамушкина / 1С,HIGH
Feb DDS article dump,Сливяк,2026-08-12,2026-08-10,Feb −1.5M stuck,Не FORCE_CLOSE,HIGH
Mercury May + July bank,Сливяк,2026-08-15,2026-08-12,gate ≤28,Мамушкина AR,HIGH
Alias top-5,Коновалова,2026-08-12,2026-08-10,margin quality drift,Янина PRODUCT,MED
ZP #REF! fixed,Сливяк,2026-08-04,2026-08-01,person payroll SoT,Мамушкина,MED
Salon 26 cost filled,Мокеева,2026-08-15,2026-08-12,pilot GM <80%,COST RACI,MED
