order,exec_id,decision,signer,options,recommended,check,signature,date,when
1,E01,CONFIRM DOM-B2B = Коптева,Янина,CONFIRM|REPLACE_FIO|DEFER,CONFIRM,☐,,,meet
2,E03a,CONFIRM DOM-PRODUCT = Коновалова,Янина,CONFIRM|REPLACE|DEFER,CONFIRM,☐,,,meet
3,E03b,CONFIRM DOM-COST = Мокеева,Янина,CONFIRM|REPLACE|DEFER,CONFIRM,☐,,,meet
4,E03c,CONFIRM DOM-DATA = Сливяк,Янина,CONFIRM|REPLACE|DEFER,CONFIRM,☐,,,meet
5,E12,NO unit-econ promise MD 2024–25,Янина,ACCEPT_CONSTRAINT|DEFER,ACCEPT_CONSTRAINT,☐,,,meet
6,FRAME1,Dual contour mandatory in reports,Янина,YES|NO,YES,☐,,,meet
7,FRAME2,Ban goods −58/−74% as company P&L,Янина,YES|NO,YES,☐,,,meet
8,E08,ACCEPT core−card policy D-H58-BANK-01 (Path A) OR defer to card→DDS map,Янина + Сливяк,PATH_A_CORE_CARD|PATH_B_MAP|DEFER,PATH_A_CORE_CARD,☐,,,meet
9,E02a,ACCEPT soft-slice IM 2026-04 = 509351.08,Сливяк+Мамушкина,ACCEPT_SOFT_SLICE|REJECT|DEFER,ACCEPT_SOFT_SLICE,☐,,,meet
10,E02b,ACCEPT soft-slice IM 2025-08 = 37327.69,Сливяк+Мамушкина,ACCEPT_SOFT_SLICE|REJECT|DEFER,ACCEPT_SOFT_SLICE,☐,,,meet
11,E06,ZP #REF! fix by 2026-08-04,Сливяк,YES_WITH_DATE|DEFER,YES_WITH_DATE,☐,,,meet
12,E07,CONFIRM overbank hypotheses (TBANK→IM; POS→HOLD; not TSUM_NET),Сливяк,CONFIRM_HYP|REJECT|DEFER,CONFIRM_HYP,☐,,,async_ok
13,TAX_PERIMETER,INCLUDE Salon→УФК payments in TAX_CASH_BANK perimeter (H76),Сливяк + Янина,INCLUDE_PERIMETER|REJECT|DEFER,INCLUDE_PERIMETER,☐,,,async_or_meet
14,TAX36k,CONFIRM 36k 2024-01 Salon Sber UFK → ENP/tax cash map,Сливяк,CONFIRM_MAP|ALREADY_IN_DDS|DEFER,CONFIRM_MAP,☐,,,async_or_meet
