YANINA — Этап 1. Комплексная диагностика бизнеса,,,,,,,,
"Сводка для собственника: что установлено, почему это важно и с чем необходимо работать дальше.",,,,,,,,
,,,,,,,,
№,Блок,Что установлено,Профессиональный вывод,Финансовое следствие,Приоритет,Что требуется изменить,Критерий результата,Источник
1,Финансовая модель,Индивидуальный пошив — около 84% доступной управленческой модели доходов; полного консолидированного отчёта о прибылях и убытках нет.,Основной доходный продукт пока не является полной единицей финансового управления. Движение денег видно лучше, чем создание прибыли и капитала.,Риск неверной оценки направлений цены общих расходов и свободных денежных средств.,Неотложный,"Отдельный отчёт о прибылях и убытках индивидуального пошива, отчёт по товарному бизнесу, слой общих расходов и управленческий баланс.",Прибыль каждого направления объяснима и сходится с движением капитала и денег.,Продажи / движение денежных средств и диагностический мост; строки продаж и себестоимость продаж
2,Экономика индивидуального заказа,Полная плановая и фактическая себестоимость заказа не собирается в одном объекте.,Высокий чек не гарантирует высокий маржинальный доход: сложность срочность и изменения могут превращаться в скрытую скидку.,Рост оборота может сопровождаться более быстрым ростом затрат незавершённого производства и потребности в капитале.,Неотложный,Пилот 20–30 заказов; шкала сложности; цена изменений; надбавка за срочность; план/факт.,Не менее 90% пилотных заказов имеют плановую экономику до подтверждения.,Продажи / движение денежных средств; диагностический мост; финансовая модель
3,Денежный поток и ликвидность,Базовый банковский регистр — 4 933 операции; подтверждены встречные потоки собственника; точный свободный денежный поток не подтверждён.,Кассовый разрыв — запаздывающее следствие решений о цене закупке сроке авансах и распределении денег.,Положительный остаток на счёте может быть уже связан будущими обязательствами.,Неотложный,"13-недельный прогноз, резерв стоимости завершения, минимальный денежный резерв, классификация потоков собственника.",Прогноз обновляется еженедельно; не менее 90% суммы отклонения объясняется.,Базовый банковский реестр; сверки банка и движения денежных средств; дополнительная банковская выписка
4,Структура затрат,"Фонд оплаты труда — около 79,6 млн ₽; аренда — около 23,9 млн ₽; основные операционные расходы — около 168,9 млн ₽ за анализируемые 30 месяцев.",Фонд оплаты труда и аренда формируют около 61% видимой основной расходной базы. Резерв следует искать в производительности и стоимости сбоев а не в линейном сокращении.,Сокращение дефицитной профессиональной мощности может ухудшить сроки и денежный цикл.,Высокий,"Учёт прямого труда, переделок, ожиданий, срочности и загрузки дефицитных ролей.",Видна доля полезной работы переделок и потерь; корректирующие действия имеют владельцев.,Сверка выплат персоналу и расходов; мост расходов; диагностический операционный мост
5,Запасы и оборотный капитал,"Около 29,9 млн ₽ сопоставленного остатка тканей; около 12,87 млн ₽ / 668 позиций без движения более 365 дней.",Около 43% стоимости сопоставленного остатка находится в зоне длительного отсутствия движения. Это капитал без решения а не автоматически неликвид.,Новая закупка может финансироваться при уже существующем запасе; ликвидность связана.,Неотложный,Поштучные решения по значимому долгому остатку; резервирование; проверка свободного остатка до закупки.,100% значимых долгих позиций имеют подтверждённое наличие назначение и решение.,Мост остатков и движения тканей; возрастная структура тканей
6,Незавершённое производство,Полного единого реестра незавершённого производства по индивидуальным заказам нет.,Без стоимости завершения нельзя отделить свободные деньги от денег необходимых для выполнения уже принятых обязательств.,Свободная ликвидность может быть завышена; финальные платежи и сроки управляются поздно.,Неотложный,"Единый реестр: стадия, понесённые затраты, стоимость завершения, аванс, финальный платёж, срок, ответственный.",100% активных заказов присутствуют в реестре незавершённого производства.,Продажи / движение денежных средств и диагностический мост; оборотный капитал
7,"Ассортимент, продукт, продажи и клиенты","Товарная выручка с подтверждённой себестоимостью — около 72,9 млн ₽ за 2025 год; по каналам есть разные представления маржи; полной клиентской прибыльности нет.",Оборот и валовая маржа недостаточны: ассортимент и клиент должны оцениваться вместе со скоростью возврата капитала и стоимостью обслуживания.,"Риск масштабировать категорию, канал или клиента, который связывает непропорционально много капитала и мощности.",Высокий,Ассортиментная матрица; полная экономика каналов; прибыльность клиента через его заказы.,Решения о портфеле принимаются по марже оборачиваемости и потребности в ресурсах.,Строки продаж и себестоимость продаж; витрина маржинальности каналов; реестр корпоративных расчётов
8,"Закупки, поставщики и производство","Закупка, склад, производство и деньги не образуют одну непрерывную цепочку; нет единой сопоставимой карты поставщиков и полного массива трудозатрат.",Проблема ликвидности может создаваться при принятии заказа или закупке задолго до фактического кассового разрыва.,"Повторная закупка, срочность, перегрузка мощности, длинный цикл и рост незавершённого производства.",Высокий,"До подтверждения заказа: экономика, материалы, мощность и ликвидность; карта полной стоимости поставщиков; реестр переделок и загрузки.",Новый заказ и значимая закупка не запускаются без обязательных проверок.,Мост остатков и движения тканей; возрастная структура тканей; закупки и производство
9,Управленческая отчётность и ответственность,18 из 30 месяцев прошли внутренний контроль без существенных оговорок; денежные потоки индивидуального пошива сопоставлены в 29 из 30 месяцев.,Данные в значительной степени существуют но правила закрытия и классификации недостаточно устойчивы.,Решения принимаются до появления сопоставимого управленческого результата.,Высокий,"Единые определения, календарь закрытия до 10-го рабочего дня, владельцы показателей и решений.",Два последовательных месяца закрыты до 10-го рабочего дня без существенных нерасшифрованных позиций.,Сверка индивидуального пошива с движением денежных средств; внутренний контроль доказательности
10,Налоговая модель,"Налоговые выплаты хорошо прослеживаются по банку, но начисления, единый налоговый счёт и полная налоговая экономика не сведены.",Оптимизировать нужно не ставку а совокупное влияние налоговой модели на цену маржу закупки запасы и ликвидность.,Формально более низкая ставка может быть дороже из-за невозмещаемого входного и ввозного налога на добавленную стоимость.,Высокий,Сценарный расчёт по каждому юридическому лицу; сверка начислено → единый налоговый счёт → уплачено; внешняя юридическая проверка выбранного решения.,Выбранный вариант подтверждён расчётом полной экономической стоимости.,Реестр налоговых денежных выплат; налоговая сверка; официальные материалы ФНС России
11,Люди и выплаты,38 из 84 строк кадрового реестра имеют техническую метку исходного файла; 36 из них присутствуют в платежах 2026 года; 27 получателей выплат не сопоставлены с реестром.,Нельзя качественно оценить численность и производительность пока роли основания выплат и юридические схемы не сведены в один реестр.,"Риск неполной стоимости команды, ошибок планирования мощности и налогово-договорных несоответствий.",Высокий,"Единый кадрово-платёжный реестр с ролью, юридическим лицом, основанием и стоимостью.",Каждый получатель выплаты сопоставлен с ролью и документальным основанием.,Кадровый реестр; сверка кадрового реестра и выплат
