YANINA — карта рисков и резервов,,,,,,,,,
Зона капитала или риска не равна реализованной экономии. Эффект признается только после действия и финансовой сверки.,,,,,,,,,
,,,,,,,,,
Код,Категория,Механизм,Доказательная опора,Зона / сумма,Что может дать эффект,Что нельзя обещать,Приоритет,Действие,Как подтверждается эффект
R01,Маржа заказа,"Сложность, срочность и изменения не всегда имеют отдельную цену",Нет полной экономики заказа; основной доходный контур — индивидуальный пошив,Сумма не рассчитана,"Цена сложности, платные изменения, надбавка за срочность, контроль скидок",Нельзя обещать процент роста маржи до пилота,Критический,Пилот 20–30 заказов,"План/факт по заказам, без двойного счета"
R02,Переделки и потери мощности,Переделки и ожидание смешиваются с производительным трудом,ФОТ — крупный ресурс; отсутствует причинный учет часов,Сумма не рассчитана,"Снижение переделок, ожидания и срочных переключений",Нельзя считать весь ФОТ резервом,Высокий,Реестр причин переделок и потерь времени,Снижение фактических часов/затрат при сохранении выпуска
R03,Ткани,Долгий запас не имеет обязательного решения,"12,87 млн ₽; 668 позиций >365 дней","12,87 млн ₽ в зоне капитала, требующей решения","Повторное использование, продажа/возврат, предотвращение новой закупки","Нельзя считать 12,87 млн ₽ неликвидом или денежным эффектом",Критический,Разбор класса A и физическая проверка,Фактически предотвращенная закупка или полученные деньги
R04,Расчёты по корпоративным продажам (B2B),Открытые документы задерживают возврат денег,"15 документов; около 2,51 млн ₽","2,51 млн ₽ открытых расчётов",Получение подтвержденной задолженности,Нельзя считать всю сумму гарантированно взыскиваемой,Критический,Документное закрытие,Фактическое поступление денег
R05,НЗП,Стоимость будущего выполнения открытых заказов не консолидирована,Полный реестр НЗП отсутствует,Сумма не рассчитана,Сокращение цикла; контроль стоимости завершения; ускорение финальной оплаты,Нельзя заявлять сумму высвобождения без оценки НЗП,Критический,Создать реестр НЗП,Снижение дней НЗП и связанного капитала
R06,Закупки,Новая закупка может происходить без полной проверки свободного остатка,"29,9 млн ₽ сопоставленного тканевого остатка; фурнитура неполна",Сумма не рассчитана,Предотвращенные закупки и снижение срочной логистики,Нельзя считать весь запас избыточным,Критический,Проверка свободного остатка до заявки,Сумма отмененных/замещенных закупок
R07,Ликвидность,Аванс и банковский остаток могут восприниматься как свободные деньги,Нет полного НЗП (незавершённого производства) и стоимости завершения открытых заказов; подтверждены встречные потоки собственника,Сумма не рассчитана,Снижение экстренного финансирования и просрочек,Нельзя обещать размер свободного денежного потока,Критический,13-недельный прогноз и минимальный резерв,Точность прогноза; снижение экстренных внесений
R08,Каналы,Валовая маржа не учитывает все прямые расходы и капитал,"ЦУМ 37,9%/87,9%; интернет 81,8%; корпоративные продажи (B2B) 68,3%",Сумма не рассчитана,Перенос капитала в каналы с лучшей отдачей,Нельзя ранжировать каналы по текущей валовой марже,Высокий,Единая экономика каналов,Маржинальный доход после прямых расходов и срок возврата капитала
R09,Налоговая модель,Выбор режима по ставке может игнорировать входной/ввозной НДС и денежный цикл,"Налоговые денежные выплаты 45,4 млн ₽; неполная сверка начислений и ЕНС",Сумма не рассчитана,Снижение полной налоговой стоимости и кассового давления,Нельзя обещать налоговую экономию без сценарного расчета и юридической проверки,Высокий,Сценарная модель по юридическим лицам,Сравнение налог + невозмещаемый НДС + стоимость администрирования + денежный эффект
R10,Отчетность,Позднее закрытие не предотвращает слабые решения,"18/30 месяцев без существенных оговорок; 29/30 денежный контур сопоставим",Сумма не рассчитана,"Снижение повторных ошибок, повышение точности решений",Нельзя напрямую превращать в денежный эффект без причинного моста,Критический,Закрытие не позднее десятого рабочего дня (D+10) и единые справочники,Дни закрытия; доля необъясненных расхождений
