canonical_sku,alias_status,fixed_lines,channels,fix_types,sale_name_sample,wrong_or_alt_cost_name_sample,preferred_cost_version_ids,proposed_rule,owner_domain,owner_status,registry_accept,applied_to_sales,so_t,note,updated_at
T-2750B,CONTROLLED_CANDIDATE,15,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,CV-98101a4547510f16,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-2750C,CONTROLLED_CANDIDATE,7,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,CV-e492aca3d0c5ac46,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-3187A,CONTROLLED_CANDIDATE,6,TSUM,CATEGORY_MISMATCH,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,CV-ef35f6b857d8b3cd,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-3178,CONTROLLED_CANDIDATE,5,TSUM,UNIT_RATIO,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",CV-ca33d19b12707eb8,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-2973A,CONTROLLED_CANDIDATE,5,TSUM,CATEGORY_MISMATCH,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-7f42aba6bd3cc72f,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-3069B,CONTROLLED_CANDIDATE,5,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",CV-4c8f25bb5b6644d1,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-2973,CONTROLLED_CANDIDATE,4,TSUM,CATEGORY_MISMATCH,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-b6691478402e7e12,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-1444A,CONTROLLED_CANDIDATE,4,TSUM,CATEGORY_MISMATCH,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", удл",Худи с капюшоном Дерево,CV-4c1d30852ba664fd,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-2973B,CONTROLLED_CANDIDATE,3,TSUM,CATEGORY_MISMATCH,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,CV-b389209735ee51e2,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-2910,CONTROLLED_CANDIDATE,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,CV-30dc1a0767b2c268,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-2923,CONTROLLED_CANDIDATE,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,CV-9c01fe23c1cfba8a,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-2750D,CONTROLLED_CANDIDATE,2,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, голубая, из шелка, на бретелях",Топ на бретелях шелк,CV-a82832bc6ebc43a7,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
0-3073A,CONTROLLED_CANDIDATE,2,TSUM,CATEGORY_MISMATCH,"Свитшот женский, белый, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",БЛУЗА,CV-3fc63edbb413c06c,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
0-3362,CONTROLLED_CANDIDATE,1,IM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из эко шелка, с вытачками",ТОП,CV-0d9e8ae3a65d24f4,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
0-2027F,CONTROLLED_CANDIDATE,1,IM,CATEGORY_MISMATCH,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",Н/ПЛАТЬЕ,CV-0a97df79110a2260,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
T-3091D,CONTROLLED_CANDIDATE,1,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, черная, из бисерной ткани","Топ без рукавов, кокетка- черная сетка, основа-
бисерная ткань",CV-228527a2e28c206d,Match cost by name/category before unit_cost; prefer W3 BOM over H5 stock on mismatch,DOM-PRODUCT,OPEN_NEEDS_OWNER,PENDING_PRODUCT_OWNER,N,N,Promoted from H17 after RACI ACCEPT domains; do not auto-apply until Product Owner named,2026-07-24 19:22
0-2493A,MARGIN_EXCEPTION_ACCEPTED,2,B2B,WHOLESALE_OK_LOSS,,,,Keep FILE cost; flag WHOLESALE_OK_LOSS,DOM-B2B/FINANCE,ACCEPTED_VIA_H23,ACCEPT,Y,DOMAIN_OWNED,Owner-accepted commercial loss exception,2026-07-24 19:22
0-2496,MARGIN_EXCEPTION_ACCEPTED,2,B2B,WHOLESALE_OK_LOSS,,,,Keep FILE cost; flag WHOLESALE_OK_LOSS,DOM-B2B/FINANCE,ACCEPTED_VIA_H23,ACCEPT,Y,DOMAIN_OWNED,Owner-accepted commercial loss exception,2026-07-24 19:22
0-2497,MARGIN_EXCEPTION_ACCEPTED,4,B2B,WHOLESALE_OK_LOSS,,,,Keep FILE cost; flag WHOLESALE_OK_LOSS,DOM-B2B/FINANCE,ACCEPTED_VIA_H23,ACCEPT,Y,DOMAIN_OWNED,Owner-accepted commercial loss exception,2026-07-24 19:22
0-3243,QUARANTINE_ACCEPTED,1,IM,COST_IDENTITY_QUARANTINE,,,,No COGS until sweatshirt cost version exists,DOM-COST/PRODUCT,ACCEPTED_VIA_H23,ACCEPT,Y,DOMAIN_OWNED,Owner-accepted quarantine,2026-07-24 19:22
