canonical_sku,alias_status,fixed_lines,channels,fix_types,sale_name_sample,wrong_or_alt_cost_name_sample,registry_accept,applied_to_sales,action,owner_role,priority,dojim_status,pack,note
T-2750B,CONTROLLED_CANDIDATE,15,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, серая, из шелка, на бретелях",Топ на бретелях шелк,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-2750C,CONTROLLED_CANDIDATE,7,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, мятная, из шелка, на бретелях",Топ на бретелях шелк,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-3187A,CONTROLLED_CANDIDATE,6,TSUM,CATEGORY_MISMATCH,"Платье женское, голубое, из стрейч бархата, длина миди",Платье миди темно-синий стрейч бархат В ТОН ПАЛЬТО 0-3102,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-3178,CONTROLLED_CANDIDATE,5,TSUM,UNIT_RATIO,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""","майка с вышивкой ""перец"", белый хлопок",PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-2973A,CONTROLLED_CANDIDATE,5,TSUM,CATEGORY_MISMATCH,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-3069B,CONTROLLED_CANDIDATE,5,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками","топ на тонких бретельках, шелк",PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-2973,CONTROLLED_CANDIDATE,4,TSUM,CATEGORY_MISMATCH,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-1444A,CONTROLLED_CANDIDATE,4,TSUM,CATEGORY_MISMATCH,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", удл",Худи с капюшоном Дерево,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-2973B,CONTROLLED_CANDIDATE,3,TSUM,CATEGORY_MISMATCH,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",Рубашка с вышивка на кармане,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
T-2910,CONTROLLED_CANDIDATE,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",Топ-майка сетка со стразами,PENDING_PRODUCT_REVIEW,N,PRODUCT_REVIEW_ACCEPT_OR_REJECT,DOM-PRODUCT (OPEN — кандидат Коновалова),P1,WAITING_PRODUCT_ACCEPT,H37_DOJIM,Не auto-apply until Accept
