task_id,priority,task,deliverable,owner_role,dependency,stop_gate,status
T21-01,Критический,Approve source/field owners and evidence locations,"Owner/approver names in source, field, key and link registers",Руководство / Data Governance,None,No source/key/link becomes Approved without named owner,Prepared
T21-02,Критический,Reconstruct 14 #REF formulas in Jan/Feb 2026 payroll,Approved new workbook versions + control totals + bank/DDC retest,HR / Финансы,Payroll owner and source logic,No automatic guess of deleted references,Prepared patch register
T21-03,Высокий,Resolve 543 #DIV/0 error cells by root-cause class,Approved denominator/data corrections or controlled blanks in new versions,Коммерция / Производство / Финансы,Business meaning of zero denominator,Do not hide errors in original source with blanket IFERROR,Prepared patch register
T21-04,Высокий,Replace external workbook/local path dependencies,Registered source_file_id/version_id dependencies or frozen approved values,Финансы / Продукт,Locate external source files,No local path in production source,Prepared
T21-05,Высокий,Classify hidden sheet in SALES 2024-2026,"Documented purpose, owner, inclusion rule and totals retest",Финансы,Owner explanation,Hidden logic cannot drive published result without documentation,Prepared
T21-06,Критический,Approve 491 key candidates and reject non-unique keys,Canonical key decision + duplicate/null tests,Data owners,Owners + entity definitions,Production join requires stable unique key,Prepared
T21-07,Критический,Execute field-level tests for 199 links,"Orphan, duplicate, cardinality and total reconciliation evidence",Analytics / IT / Business owners,Primary IDs or approved current grain,No fuzzy amount/text join in production,Prepared
T21-08,Критический,Close 24 missing-data gaps or formally confirm data not maintained,Register/extract or signed absence statement with analysis consequence,Process owners,System inventory,No proxy replaces missing source of truth,Prepared
T21-09,Высокий,Re-test links touching defective sources,"Before/after checksums, link tests and evidence",Analytics / source owners,T21-02..05,Technical cleanup alone does not upgrade evidence status,Prepared
T21-10,Средний,Publish controlled field dictionary and mapping version,Approved field dictionary with effective dates and change log,Data Governance,"T21-01,T21-06",Closed mapping is immutable; change creates new version,Prepared
