priority,ask_ru,why,owner_hint
P0,"Подтвердить, что завтра обсуждаем диагностический пакет Этапа 1 (не внедрение и не audited P&L)",сверка ожиданий со scope договора,Янина
P0,Выгрузить НДС и РСВ за 2026-Q2 (ИП),дыра в налоговом пакете после срока,Сливяк
P0,"ДДС за июнь 2026 + выписка/банк июль (и Mercury, если актуально)",закрыть хвост bank↔DDS / gate,Сливяк
P0,Сброс Feb по статьям ДДС (если ещё не давали dump),WIDE_GAP февраля,Сливяк
P1,Кто официально Product / Cost / B2B owner на follow-up,иначе Wave B некому отдавать,Янина
P1,План по 36 людям UNFORMAL с выплатами ~11.6M,качество HR/compliance процесса,Сливяк+Мамушкина
P1,Кто отвечает за ткани DEAD_STOCK ~12.9M (списание/перекрой),оборотный капитал,Мокеева/Дендерина
P1,Договорной % / правило комиссии ЦУМ,иначе reported GM 38% вводит в заблуждение,Меркушина
P2,Текстовые (не скан) списки сданной отчётности ФНС,сверка list↔наш pack,Сливяк
P2,Готовность к пилоту себестоимости 20–30 заказов МД,главный пробел unit-econ,Янина+Мокеева
