analysis_id,analysis,status,status_class,evidence,coverage,cannot_claim,blocking_gap_ids,supporting_links,supporting_link_count,blocking_gaps_detailed,technical_source_risk,required_to_upgrade
AN-01,Техническая инвентаризация источников,Готово,Готово,"93 файла, 284 листа, quality flags",Подтверждённый переданный периметр,Нельзя утверждать полноту всей IT-среды,IG-22; IG-23,,0,"IG-22 RACI, лимиты и владельцы источников истины | IG-23 Версионный реестр документов и master data",,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-02,Банковские остатки,Готово с оговоркой,Готово,113/116 остатков,4 предоставленных счёта,Не весь банковский периметр,IG-11,,0,IG-11 Полный банковский периметр,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-03,Cash roll-forward,Частично,Частично,17/29 переходов; 12 разрывов,Денежная модель,Opening и non-bank components не доказаны,IG-12; IG-13,,0,"IG-12 Касса, карты и подотчёт с движениями | IG-13 Журнал корректировок и подтверждённые opening balances",,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-04,ДДС ↔ расходы,Частично,Частично,2025 и часть 2026 сходятся,Cash classification,2024 неоднороден; нет transaction IDs,IG-12; IG-23,,0,"IG-12 Касса, карты и подотчёт с движениями | IG-23 Версионный реестр документов и master data",,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-05,Бюджет план-факт,Готово с оговоркой,Готово,H2 2025 и Jan-May 2026,Cash budget perimeter,Нет единого plan version/driver model,IG-23; IG-24,,0,IG-23 Версионный реестр документов и master data | IG-24 Корпоративный словарь данных и data contracts,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-06,Ликвидность,Частично,Частично,Cash balances и flows,Предоставленные счета,"Нет AR/AP, полного bank perimeter и обязательств",IG-11; IG-14,LCFG-175 | LCFG-176 | LCFG-177 | LCFG-178,4,IG-11 Полный банковский периметр | IG-14 Дебиторская и кредиторская задолженность,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-07,Управленческая прибыль/P&L,Невозможно завершить,Заблокировано,Только cash result,Cash model,"Нет accrual, inventory, WIP, AR/AP, Balance",IG-02; IG-03; IG-14; IG-15,,0,IG-02 Остатки и движение готовой продукции | IG-03 Production order register и WIP | IG-14 Дебиторская и кредиторская задолженность | IG-15 Управленческий P&L и Balance с методикой close,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-08,Balance sheet,Невозможно завершить,Заблокировано,Отдельные остатки и активы,Fabric snapshot / cash,"Нет FG, WIP, AR/AP, liabilities/equity",IG-02; IG-03; IG-14; IG-15,,0,IG-02 Остатки и движение готовой продукции | IG-03 Production order register и WIP | IG-14 Дебиторская и кредиторская задолженность | IG-15 Управленческий P&L и Balance с методикой close,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-09,ФОТ ↔ банк ↔ ДДС,Готово с оговоркой,Готово,Агрегатные расхождения 3 месяцев объяснены,11 месяцев,Employee-level ledger неполон,IG-16,,0,IG-16 Полный payroll accrual ledger,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-10,Полная стоимость труда,Невозможно завершить,Заблокировано,Формы и часть ведомостей,2024–2026 частично,Нет полного accrual ledger,IG-16; IG-19,,0,IG-16 Полный payroll accrual ledger | IG-19 Помесячный НДФЛ/РСВ и employee-level tax linkage,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-11,6-НДФЛ ↔ РСВ годовая,Готово с оговоркой,Готово,4/4 годовые пары сходятся,"2024–2025, 2 юрлица",Не employee/month level,IG-19,,0,IG-19 Помесячный НДФЛ/РСВ и employee-level tax linkage,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-12,Налоговое обязательство ↔ платёж,Невозможно завершить,Заблокировано,182 bank tax ops,Cash side only,Нет ENS allocation/obligation register,IG-17; IG-18,,0,IG-17 Исторические операции ЕНС и распределение ЕНП | IG-18 Регистр налоговых обязательств и уведомлений,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-13,Помесячный налоговый календарь,Частично,Частично,60 entity-month records,Bank + forms hints,Нет уведомлений и full monthly tax ledger,IG-17; IG-18; IG-19,,0,IG-17 Исторические операции ЕНС и распределение ЕНП | IG-18 Регистр налоговых обязательств и уведомлений | IG-19 Помесячный НДФЛ/РСВ и employee-level tax linkage,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-14,Current tax exposure,Частично,Частично,Справки по ИП на 25.06.2026,ИП Янина,Нет аналогичных актуальных справок по ДЕКОР,IG-20,,0,IG-20 Актуальные справки ЕНС и история по ООО ДЕКОР,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-15,SKU master,Частично,Частично,234 SKU; 599 aliases; 124 decisions,ЦУМ + collection/cost candidates,Нет approved canonical master,IG-01,,0,IG-01 Официальный canonical SKU и alias history,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-16,Маржа SKU,Частично,Частично,82 SKU с однозначной cost,Covered subset only,131 missing cost; 21 multiple; no FG/COGS close,IG-01; IG-02; IG-04,LCFG-113 | LCFG-116 | LCFG-119,3,IG-01 Официальный canonical SKU и alias history | IG-02 Остатки и движение готовой продукции | IG-04 Утверждённые версии фактической себестоимости,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-17,Маржа коллекций,Невозможно завершить,Заблокировано,Collection files and candidate links,Низкое точное покрытие,Нет model/SKU mapping and full cost/sales,IG-01; IG-04; IG-07,LCFG-114 | LCFG-117 | LCFG-120,3,IG-01 Официальный canonical SKU и alias history | IG-04 Утверждённые версии фактической себестоимости | IG-07 Детальные продажи всех каналов,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-18,Маржа каналов,Частично,Частично,Cash mix и отдельные channel aggregates,ЦУМ/B2B лучше покрыты,Нет detailed Salon/Shop/online and settlement costs,IG-07; IG-09,,0,IG-07 Детальные продажи всех каналов | IG-09 Settlement и взаиморасчёты на уровне строк,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-19,Стоимость и возраст готовой продукции,Невозможно завершить,Заблокировано,Нет current FG register,—,"Нет movements, cost and dates",IG-02; IG-04,,0,IG-02 Остатки и движение готовой продукции | IG-04 Утверждённые версии фактической себестоимости,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-20,Стоимость материалов на дату,Готово с оговоркой,Готово,"29 837 656,49 руб. на 31.05.2026",1C snapshot,Не история движения/не proof of liquidity,IG-05,,0,IG-05 История движения материалов и партии,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-21,Material aging/неликвид,Невозможно завершить,Заблокировано,Snapshot only,1 338 rows,Нет lots/movements/reservations/issues,IG-05; IG-06,,0,IG-05 История движения материалов и партии | IG-06 Версионный BOM и нормы,,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-22,WIP,Невозможно завершить,Заблокировано,Production plan drafts,163 orders,"Нет status, qty, issue/output and valuation",IG-03; IG-05; IG-10,,0,"IG-03 Production order register и WIP | IG-05 История движения материалов и партии | IG-10 Операции, фактические часы, брак и переделка",,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
AN-23,Production lead time,Невозможно завершить,Заблокировано,Dates in free text,163 orders / 475 tasks,Нет reliable start/end/order IDs,IG-03; IG-10,,0,"IG-03 Production order register и WIP | IG-10 Операции, фактические часы, брак и переделка",,Close blocking gaps; approve primary keys; run field-level lineage test; attach evidence; owner sign-off
