YANINA — Этап 1: карта профессиональных выводов,,,,,,,
Для каждого блока: подтвержденный факт → профессиональный вывод → финансовое следствие → приоритет → дальнейшая работа.,,,,,,,
,,,,,,,
№,Блок,Подтвержденный факт,Профессиональный вывод,Финансовое следствие,Приоритет,Дальнейшая работа,Критерий результата
1,Финансовая модель,Индивидуальный пошив — около 84% доступного управленческого доходного периметра; полного консолидированного ОПУ нет.,"Основной доходный продукт не является полной единицей финансового управления. Движение денег видно лучше, чем прибыль и капитал.","Риск неверной оценки направлений, цены, общих расходов и свободных денежных средств.",Критический,Два ОПУ: индивидуальный пошив и товарные каналы; слой общих расходов; управленческий баланс.,"Прибыль каждого контура объяснима, оба контура сходятся в консолидированный результат и денежный мост."
2,Экономика индивидуального заказа,Полная плановая и фактическая себестоимость заказа не собирается в одном объекте.,"Высокий чек не гарантирует высокий маржинальный доход: сложность, срочность, изменения и дефицитная мощность могут создавать скрытую скидку.","Рост выручки может сопровождаться более быстрым ростом затрат, НЗП и потребности в капитале.",Критический,Пилот 20–30 заказов; шкала сложности; фиксация дизайна; платные изменения; надбавка за срочность; план/факт.,Не менее 90% пилотных заказов имеют плановую экономику; фактическое отклонение объяснено по драйверам.
3,Ликвидность,Базовый банковский регистр — 4 933 операции; встречные потоки собственника; точный свободный денежный поток не подтвержден.,"Кассовый разрыв — запаздывающее следствие решений о цене, закупке, сроке, авансах и распределении денег.",Положительный банковский остаток может быть экономически связан будущими обязательствами.,Критический,13-недельный прогноз; резерв стоимости завершения; минимальный денежный резерв; классификация потоков собственника.,Прогноз обновляется еженедельно; не менее 90% суммы отклонения объясняется.
4,Структура затрат,"ФОТ — около 79,6 млн ₽ в 30-месячном диагностическом периметре; полного распределения по контурам нет.","Главный резерв не в механическом сокращении ФОТ, а в отделении стоимости продукта от стоимости сбоев и неоплаченной сложности.",Линейное сокращение может уменьшить дефицитную мощность и ухудшить сроки и денежный цикл.,Высокий,"Учет прямого труда, переделок, ожидания, срочности и загрузки ограничивающих ролей.","Видна доля производительного труда, переделок и потерь; корректирующие действия имеют владельцев."
5,Запасы,"Сопоставленный положительный остаток тканей — около 29,9 млн ₽; 12,87 млн ₽ и 668 позиций без движения >365 дней.","Запас — портфель решений по капиталу. Долгий остаток не равен неликвиду, но требует назначения и срока решения.",Деньги уже изъяты из ликвидности; новая закупка может повторно финансировать существующую потребность.,Критический,Разбор приоритетных позиций класса A (наиболее существенных по стоимости); физическая проверка; статус использовать/резервировать/реализовать/архивировать/списать.,100% существенных долгих позиций класса A (наиболее существенных по стоимости) имеют решение и дату повторного рассмотрения.
6,Незавершенное производство,Полного реестра НЗП (незавершенного производства) индивидуальных заказов нет.,Без НЗП нельзя определить будущую стоимость выполнения уже оплаченных обязательств и свободные деньги.,Финальная оплата может отставать от фактической потребности в материале и труде.,Критический,"Единый реестр НЗП: стадия, затраты, стоимость завершения, аванс, финальный платеж, срок, риск.","100% активных заказов имеют стоимость завершения, срок и ответственного."
7,Закупки и планирование,"Потребность, склад, резерв, закупка, оплата и использование не образуют полностью сквозную цепочку.",Денежные средства недостаточно защищены до принятия обязательства поставщику.,Повторные закупки и ранняя закупка увеличивают оборотный капитал и кассовое давление.,Критический,Обязательная проверка свободного остатка; привязка закупки к заказу/коллекции; полная закупочная стоимость.,"Каждая значимая закупка имеет назначение, проверку остатка и финансовое обоснование."
8,Производство и мощность,Экономика заказа не связана полностью с доступностью ограничивающих ролей.,"Дефицитная мощность должна распределяться по экономической ценности, а не только по срочности.",Срочный слабомаржинальный заказ может вытеснить более качественный портфель и задержать оплату других заказов.,Высокий,8-недельная модель мощности; маржинальный доход на час ограничивающего ресурса; причины задержек.,Новые заказы проходят проверку мощности; загрузка ограничивающих ролей прогнозируется.
9,Коммерческие каналы,"Валовая маржа: интернет-магазин ~81,8%; корпоративные продажи (B2B) ~68,3%; ЦУМ 37,9%/87,9% в двух классификациях.",Валовая маржа не равна экономике канала. Разница ЦУМ на 50 п.п. показывает риск методологической несопоставимости.,"Канал может иметь высокую товарную маржу, но низкую отдачу на капитал после комиссии, логистики и запаса.",Высокий,Единая методика полной экономики канала и стоимости капитала.,Каналы ранжируются по маржинальному доходу и сроку возврата капитала.
10,Управленческая отчетность,"29 из 30 месяцев индивидуального денежного контура сопоставлены, но только 18 из 30 прошли внутренний контроль без существенных оговорок.","Проблема не только в наличии данных, а в скорости и устойчивости закрытия. Компания объясняет прошлое лучше, чем предотвращает решение.","Поздняя информация не предотвращает слабую цену, лишнюю закупку или дефицит ликвидности.",Критический,Закрытие управленческого периода не позднее десятого рабочего дня (D+10); единые определения; владельцы показателей; журнал отклонений и действий.,Управленческий пакет выпускается не позднее десятого рабочего дня (D+10) два месяца подряд.
11,Кадровый и платежный контур,84 строки в кадровом реестре; 38 с меткой «UNFORMAL»; 36 таких получателей имеют выплаты; 27 получателей не сопоставлены с реестром.,"Фактическая модель людей, ролей, оснований и выплат не представлена одним проверяемым реестром.","Нельзя надежно оценить стоимость команды, мощность и кадрово-налоговые риски.",Высокий,"Единый реестр персонала и подрядчиков, юридическое основание, роль, стоимость, юридическое лицо.","Каждая выплата имеет получателя, роль, основание и юридический контур."
12,Налоговая модель,"Налоговые выплаты ~45,4 млн ₽ в 30-месячном периметре; платежи хорошо прослеживаются, начисления и ЕНС закрыты не полностью.","Оптимизировать нужно полную экономическую стоимость: цену, вычеты НДС, импорт, запасы, сроки уплаты и юридическую структуру.",Формально более низкая ставка может ухудшить маржу и ликвидность из-за невозмещаемого входного НДС.,Высокий,Налоговый паспорт; сверка начислено→ЕНС→уплачено; сценарии 22%/5%/7%; внешняя юридическая проверка.,Выбранная модель подтверждена расчетом по юридическим лицам и юридическим заключением.
