action_id,priority,owner_hint,category,title,detail,blocks,evidence_path,status,decision_needed
A-RACI-01,P0,Юлия / Сливяк / Мамушкина,RACI,ACCEPT или REJECT черновика RACI,"В Owner Packet: Мамушкина Елена = Cash Owner; Сливяк Галина = Bank/Tax/Payroll Owner. Заполнить decision_ACCEPT_REJECT. Без этого регистры остаются staging, не SoT.",SoT / эталонные политики данных,live/YANINA_OWNER_PACKET_RACI_AND_REQUESTS.xlsx,TODO,Y
A-FIN-0-2497,P1,Финансы / коммерция,FINANCE_EXCEPTION,Подтвердить B2B убыток 0-2497,"Цена/ед 10000.01 ₽ vs cost/ед 13579.34 ₽ (gap -3579.33 ₽). Выручка 70000.04, маржа -25055.34. Варианты: OK commercial loss / ошибка cost / прайс.",Чистота margin SoT по B2B,live/marts/finance_b2b_loss_evidence.csv,TODO,Y
A-FIN-0-2496,P1,Финансы / коммерция,FINANCE_EXCEPTION,Подтвердить B2B убыток 0-2496,"Цена/ед 10000.01 ₽ vs cost/ед 12359.27 ₽ (gap -2359.26 ₽). Выручка 60000.05, маржа -14155.57. Варианты: OK commercial loss / ошибка cost / прайс.",Чистота margin SoT по B2B,live/marts/finance_b2b_loss_evidence.csv,TODO,Y
A-FIN-0-2493A,P1,Финансы / коммерция,FINANCE_EXCEPTION,Подтвердить B2B убыток 0-2493A,"Цена/ед 10000.0 ₽ vs cost/ед 11961.52 ₽ (gap -1961.52 ₽). Выручка 30000.0, маржа -5884.56. Варианты: OK commercial loss / ошибка cost / прайс.",Чистота margin SoT по B2B,live/marts/finance_b2b_loss_evidence.csv,TODO,Y
A-FIN-0-3243,P1,Производство / 1С номенклатура,SKU_IDENTITY,Разрешить identity 0-3243,Продажа = свитшот «Be a poem»; cost masters = худи/юбка; соседний 0-3244 свитшот с unit≈43160 (ещё хуже). Нужен правильный cost version или alias map.,IM COGS на одной строке,live/registers/h13_im_finance/cogs_quarantine.csv,TODO,Y
A-DATA-IM-01,P2,Сливяк / банк,DATA_REQUEST,Эквайринг-реестры на IM OPEN-месяцы,"Месяцы: 2024-08,2025-01,2025-08,2025-10,2026-03,2026-04. Нужны полные возмещения Tinkoff/TBank/VTB (и Декор, если отдельно). Цель: IM CLOSE/SOFT с 80% → 90%+.",IM cash coverage,live/marts/recon_im_combo.csv,TODO,N
A-DATA-B2B-01,P2,Сливяк / продажи B2B,DATA_REQUEST,"Платежи/взаимозачёты на B2B open (15 шт, ~2,514,023 ₽)",В текущих выписках нет достаточных свободных платежей тех же контрагентов. Покупатели: БЕЛЬ ВИЗО ООО; ИП Бекеева Асият Багаутдиновна; ИП Джелялова Екатерина Сергеевна; ИП Кондрашкина Жанна Геннадьевна; ИП Нурова Сабигат Зайирбеговна; ИП Раева Елена Валентиновна; ИП Сердюкова Ольга Леонидовна; ИП Смирнова Яна Владимировна….,B2B settle coverage,live/marts/data_request_b2b_open.csv,TODO,N
A-DATA-ZP-01,P2,Сливяк / кадры,DATA_REQUEST,Ведомости ЗП на месяцы без payroll_lines,"Месяцы без линий: 2024-01, 2024-02, 2024-03, 2024-04, 2024-05, 2024-06, 2024-07, 2024-08, 2024-09, 2024-10, 2024-11, 2024-12, 2025-07, 2025-08, 2025-09, 2025-10, 2025-11, 2025-12, 2026-06. DDS↔bank уже CLOSE; ведомости нужны для сверки по сотрудникам.",Payroll person-level SoT,live/marts/recon_payroll_multi.csv,TODO,N
A-FIN-WATCH-01,P3,Производство / финансы,SKU_IDENTITY,Ревью 10 SKU с unit≫BOM (без автофикса),Высокий ratio при похожем имени — возможен неполный BOM или неверный FILE cost.,Качество маржи TSUM/IM,live/marts/cost_identity_review_priority.csv,TODO,Y
A-TSUM-RATE-01,P3,Юридический / финансы,DATA_REQUEST,Агентский % ЦУМ из договора,Сейчас net-rate median 0.4668 (эвристика). Договорной % → почти бухгалтерская сверка.,TSUM model SoT,live/marts/recon_tsum_net_model.csv,TODO,N
