gap_id,domain,priority,missing,where_should_be,required_fields,what_exists,blocked_analysis,uncertainty,owner_role,linked_sources,linked_links,acceptance,named_owner,due_date,received_status,validation_status,evidence_link,closure_decision,remaining_uncertainty
ST24-G01,Governance,Критический,Именованные владельцы и согласующие для пяти исправленных источников,RACI / DMS / журнал утверждений,"source_file_id, owner_name, approver_name, decision, approval_date, evidence_link",Назначены только проектные роли,Перевод Controlled Staging → Source of Truth,Критическая,Руководство + владельцы доменов,Все 5,Все 19,Пять подписанных решений и ссылки на доказательства,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G02,Governance,Высокий,Архивная версия payroll до удаления/потери исходных ссылок,DMS / резервная копия / журнал изменений,"original_version, deleted_reference, archive_date, custodian",Логика восстановлена по контрольным итогам и аналогичным периодам,100% доказательство происхождения повреждённых ссылок,Высокая,HR + IT,Payroll Jan/Feb 2026,LCFG-073–077; LCFG-087–091; LCFG-095–101; LCFG-185–186,Архивная копия либо письменное подтверждение отсутствия,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G03,Payroll,Критический,Payroll batch register,HRIS/ЗУП/банк,"payroll_batch_id, employee_id, accrual_period, payment_type, bank_payment_id, amount",Агрегированные итоги и отдельные банковские пакеты,Employee/batch-level payroll payment reconciliation,Критическая,HR + финансы,Payroll Jan/Feb 2026,LCFG-073–075; LCFG-087–089; LCFG-185–186,Нулевые orphan/duplicate либо утверждённые исключения,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G04,Payroll,Критический,Полный payroll accrual ledger,HRIS/ЗУП,"employee_id, accrual_period, accrual_type, gross, deductions, tax_base, registry_id",Частичные месячные книги,Полная стоимость труда; начисление↔выплата; налоги на уровне сотрудника,Критическая,HR + финансы,Payroll Jan/Feb 2026,LCFG-076–077; LCFG-090–091,"Полный период, первичные ID, контрольные итоги, владелец",,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G05,Cash,Критический,Полный банковский и кассовый периметр,Банки / касса / корпоративные карты,"bank_account_id, legal_entity_id, currency, statement_period, opening, movement, closing",Четыре идентифицированных счета; отдельные источники не подтверждены,"Полный cash balance, liquidity, owner/card movements",Критическая,Финансы,Payroll Jan/Feb; B2B 2026,Payroll↔bank; B2B↔bank,Все счета/кассы за период с контрольными итогами,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G06,Tax,Критический,"Обязательства, уведомления и историческое распределение ЕНС",Tax ledger / ФНС,"notification_id, obligation_id, allocation_id, tax_type, period, due_date, amount, payment_id",Формы и банковский cash без полной allocation history,"Точная налоговая задолженность, просрочка, пени, переплата",Критическая,Налоги,Payroll Jan/Feb 2026,LCFG-076–077; LCFG-090–091,Полный obligation→allocation→payment lineage,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G07,Product master,Критический,Утверждённый canonical SKU и alias history,PLM/MDM или утверждённый SKU master,"canonical_sku, model_id, version_id, color, size, alias, valid_from, valid_to, status, owner",234 preliminary SKU и 124 mapping-кандидата,Полная маржа SKU/коллекций и надёжная связь калькуляций,Критическая,Продукт + коммерция,Себестоимость Жукова/Меркушина,LCFG-133; LCFG-134,One-to-one mapping; дубли и orphan закрыты,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G08,Costing,Критический,Регистр утверждённых версий себестоимости,ERP/1C costing register,"cost_version_id, canonical_sku, type, effective_date, batch_qty, currency, rate, status, approver",Исправленные калькуляционные файлы и предварительное покрытие,"Версионная маржа, стоимость партии, audit trail",Критическая,Финансы + производство,Себестоимость Жукова/Меркушина,LCFG-133; LCFG-134,Одна активная утверждённая версия на SKU/дату; история сохранена,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G09,Production,Критический,Production order и размер партии,ERP/MES / production register,"production_order_id, canonical_sku, version_id, batch_qty, start_date, finish_date, status",Планы и задания без системного первичного ключа,"Фактическая стоимость единицы, НЗП, lead time",Критическая,Производство,Себестоимость Жукова/Меркушина,LCFG-133; LCFG-134,Заказы имеют primary ID и связаны с SKU/cost version,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
ST24-G10,Materials,Критический,Версионный BOM и фактическая выдача материалов,PLM/ERP/WMS,"bom_id, version_id, material_id, norm_qty, lot_id, issue_qty, production_order_id",Остатки на дату и фрагменты калькуляций,"Материальная себестоимость, отклонения, остатки и НЗП",Критическая,Продукт + склад + производство,Себестоимость Жукова/Меркушина,LCFG-133; LCFG-134,BOM и выдача связаны с заказом/партией,,,NOT RECEIVED,NOT VALIDATED,,OPEN,HIGH
