source_file_id,version_id,file_name,domain,risk,formula_error_cells,external_dependency_records,hidden_sheets,duplicate_group,links_impacted,technical_status,production_use_rule,missing_for_closure
FILE-001,VER-001-001,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,2,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-003,VER-001-002,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,8,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-002,VER-002-001,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Низкий,0,0,0,,2,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-004,VER-002-002,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Налоги и обязательная отчётность,Средний,0,0,0,FILE-004; FILE-005,0,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-005,VER-002-003,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Средний,0,0,0,FILE-004; FILE-005,8,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-008,VER-003-001,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Финансы и денежные потоки,Низкий,0,0,0,,19,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-013,VER-004-001,Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-014,VER-004-002,Выписка_40802810202620002686_01.01.2025–31.12.2025.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-015,VER-004-003,Выписка_40802810202620002686_01.01.2026–23.06.2026.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,0,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-009,VER-005-001,VTB_BankStatement_40802810404000000049_01.01.2024-22.06.2026_417016.pdf,Финансы и денежные потоки,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-010,VER-006-001,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Финансы и денежные потоки,Низкий,0,0,0,,22,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-017,VER-007-001,ДДС 2024.xlsx,Финансы и денежные потоки,Средний,0,2,0,,3,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-018,VER-007-002,ДДС 2025.xlsx,Финансы и денежные потоки,Низкий,0,0,0,,15,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-019,VER-007-003,ДДС 2026.xlxs.xlsx,Финансы и денежные потоки,Средний,0,2,0,,8,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-070,VER-008-001,результат кол-я 43 (янв 2024).xlsx,Коллекции и продукт,Средний,0,1,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-071,VER-009-001,результат кол-я 44 (июнь 2024).xlsx,Коллекции и продукт,Средний,0,1,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-072,VER-010-001,результат кол-я 45 (янв 2025).xlsx,Коллекции и продукт,Средний,0,1,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-073,VER-011-001,результат кол-я 46 (июль 2025).xlsx,Коллекции и продукт,Средний,0,1,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-074,VER-012-001,результат кол-я 47 (янв 2026).xlsx,Коллекции и продукт,Средний,0,1,0,,1,Remediation required,Quarantine or controlled use until new version + retest,"Owner approval, evidence location, approved version, test result"
FILE-068,VER-013-001,результат капсула 2024.xlsx,Коллекции и продукт,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-069,VER-013-002,результат капсула 2025.xlsx,Коллекции и продукт,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-077,VER-014-001,результат круиз 22.04.24.xlsx,Коллекции и продукт,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-075,VER-014-002,результат круиз 09.04.25.xlsx,Коллекции и продукт,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-076,VER-014-003,результат круиз 14.04.26.xlsx,Коллекции и продукт,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-078,VER-015-001,результат НГ 2024.xlsx,Коллекции и продукт,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-079,VER-015-002,результат НГ 24.11.25.xlsx,Коллекции и продукт,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
FILE-083,VER-016-001,себестоимость Мокеева 2025.xlsx,Себестоимость и производство,Низкий,0,0,0,,1,Clean in current scan,Allowed only under stated grain/controls,Owner sign-off and periodic test
