gap_id,priority,missing,where_should_be,required_fields,analysis_blocked,uncertainty,owner,available_workaround,status,requested_file_or_export,acceptance_criteria
IG-01,Критический,Официальный canonical SKU и alias history,MDM/1С + продуктовый блок,"canonical_sku, model_id, version_id, alias, valid_from/to",SKU/collection/order margin; production and inventory joins,Критическая,Продукт/коммерция,124 mapping-кандидата только для ручного review,Не закрыто,Выгрузка/регистр: Официальный canonical SKU и alias history,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-02,Критический,Остатки и движение готовой продукции,WMS/1С/склад,"inventory_movement_id, date, warehouse, SKU, qty, cost, document","COGS, turnover, aging, obsolete stock, Balance",Расчёт невозможен,Склад + финансы,Исторический список не заменяет текущий регистр,Не закрыто,Выгрузка/регистр: Остатки и движение готовой продукции,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-03,Критический,Production order register и WIP,ERP/MES/производство,"production_order_id, SKU, qty, dates, status, WIP stage","Lead time, WIP, productivity, order profitability",Расчёт невозможен,Производство,163 draft rows позволяют только диагностику,Не закрыто,Выгрузка/регистр: Production order register и WIP,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-04,Критический,Утверждённые версии фактической себестоимости,ERP/Cost ledger,"cost_version_id, SKU, effective_date, PO, materials, labor, overhead","SKU/collection/order margin, COGS",Высокая,Финансы + производство,82 SKU однозначно; 21 multiple; 131 missing,Не закрыто,Выгрузка/регистр: Утверждённые версии фактической себестоимости,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-05,Критический,История движения материалов и партии,WMS/1С,"material_movement_id, material_id, lot_id, date, qty, value, PO, production_order","Material aging, variance, obsolete stock, working capital",Расчёт невозможен,Склад + закупки,Срез на одну дату только показывает масштаб,Не закрыто,Выгрузка/регистр: История движения материалов и партии,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-06,Критический,Версионный BOM и нормы,PLM/технолог,"bom_id, bom_line_id, version_id, SKU, material_id, norm, waste","Material requirement, purchase plan, cost and variance",Высокая,Технолог + производство,Калькуляции не образуют единый BOM,Не закрыто,Выгрузка/регистр: Версионный BOM и нормы,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-07,Высокий,Детальные продажи всех каналов,POS/CRM/CMS/1С,"sales_line_id, date, order_id, SKU, qty, price, discount, return, channel","Channel/SKU margin, cohorts, seasonality, inventory issue",Высокая,Коммерция,ЦУМ/B2B агрегаты и cash channels недостаточны,Не закрыто,Выгрузка/регистр: Детальные продажи всех каналов,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-08,Высокий,Полный procurement cycle,ERP/закупки/DMS,"request_id, PO, supplier, material, qty, price, approval, GRN, invoice, payment","Supplier performance, PPV, lead time, 3-way match",Расчёт невозможен,Закупки,Есть supplier list и stock snapshot,Не закрыто,Выгрузка/регистр: Полный procurement cycle,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-09,Высокий,Settlement и взаиморасчёты на уровне строк,ERP/AR/коммерция,"settlement_id, invoice, sales_line, returns, commission, net_due, payment","Sales-to-cash, AR aging, channel deductions",Высокая,Финансы + коммерция,27/29 ЦУМ и 17/17 B2B подтверждены агрегатно,Не закрыто,Выгрузка/регистр: Settlement и взаиморасчёты на уровне строк,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-10,Высокий,"Операции, фактические часы, брак и переделка",MES/production register,"operation_id, production_order_id, resource, start/end, hours, output, defect, rework","Capacity, productivity, bottleneck, labor cost",Высокая,Производство,475 текстовых задач,Не закрыто,"Выгрузка/регистр: Операции, фактические часы, брак и переделка","Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-11,Критический,Полный банковский периметр,Банки/финансы,"bank_account_id, legal_entity_id, currency, statements, opening/closing","Cash, liquidity, owner transfers, balance proof",Высокая,Финансы,"Салон, Райффайзен и валютный блок не подтверждены",Не закрыто,Выгрузка/регистр: Полный банковский периметр,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-12,Критический,"Касса, карты и подотчёт с движениями",ERP/Cash ledger,"cash_transaction_id, account_id, date, document, owner, amount, category",Cash roll-forward and fraud/error control,Расчёт невозможен,Финансы,Ручные остатки не являются независимым подтверждением,Не закрыто,"Выгрузка/регистр: Касса, карты и подотчёт с движениями","Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-13,Высокий,Журнал корректировок и подтверждённые opening balances,ERP/close register,"adjustment_id, period, account, amount, reason, document, approver",Historical cash reconstruction and audit trail,Высокая,Финансы,12 roll-forward разрывов; часть opening формульно восстановлена,Не закрыто,Выгрузка/регистр: Журнал корректировок и подтверждённые opening balances,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-14,Критический,Дебиторская и кредиторская задолженность,ERP/GL,"ar_ap_item_id, counterparty, invoice, due_date, amount, payment, open_balance","Balance, liquidity, CCC, overdue, net debt",Расчёт невозможен,Финансы,Не предоставлено на контрольные даты,Не закрыто,Выгрузка/регистр: Дебиторская и кредиторская задолженность,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-15,Критический,Управленческий P&L и Balance с методикой close,ERP/GL/EPM,"account, cost_center, period, accrual, inventory, AR/AP, close_status","Profit, equity, full liquidity, ROIC",Расчёт невозможен,Финансы,Cash result не является бухгалтерской/управленческой прибылью,Не закрыто,Выгрузка/регистр: Управленческий P&L и Balance с методикой close,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-16,Критический,Полный payroll accrual ledger,HRIS/ЗУП,"employee_id, accrual_period, type, gross, deductions, tax base, registry_id","Full labor cost, employee tax reconciliation, accrual/payment lag",Высокая,HR + финансы,2024 отсутствует; 2025/2026 покрыты частично,Не закрыто,Выгрузка/регистр: Полный payroll accrual ledger,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-17,Критический,Исторические операции ЕНС и распределение ЕНП,ENS/ФНС,"obligation_id, allocation_id, tax_type, period, amount, payment_id, date","Exact tax payment, arrears, overpayment, penalty",Расчёт невозможен,Налоги,"Банк подтверждает cash, но не allocation",Не закрыто,Выгрузка/регистр: Исторические операции ЕНС и распределение ЕНП,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-18,Критический,Регистр налоговых обязательств и уведомлений,Tax ledger,"notification_id, obligation_id, tax_type, period, due_date, amount, status",Monthly tax calendar and due-date control,Расчёт невозможен,Налоги,Формы дают не все месячные обязательства,Не закрыто,Выгрузка/регистр: Регистр налоговых обязательств и уведомлений,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-19,Высокий,Помесячный НДФЛ/РСВ и employee-level tax linkage,Payroll/Tax ledger,"employee_id, accrual_period, tax_type, base, amount, declaration_line",Employee-level and monthly tax reconciliation,Высокая,HR + налоги,"Годовые формы сходятся, но детализации нет",Не закрыто,Выгрузка/регистр: Помесячный НДФЛ/РСВ и employee-level tax linkage,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-20,Высокий,Актуальные справки ЕНС и история по ООО ДЕКОР,ФНС/налоги,"date, balance, obligation, overpayment, enforcement",Current tax exposure for all entities,Высокая,Налоги,Текущие справки представлены только по ИП,Не закрыто,Выгрузка/регистр: Актуальные справки ЕНС и история по ООО ДЕКОР,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-21,Высокий,Полный договорный реестр и ключевые условия,DMS/юристы,"contract_id, counterparty, object, dates, limits, SLA, payment terms","Contract risk, supplier/channel terms, liability",Высокая,Юристы,"Переданы отдельные документы, но нет реестра",Не закрыто,Выгрузка/регистр: Полный договорный реестр и ключевые условия,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-22,Критический,"RACI, лимиты и владельцы источников истины",GRC/DMS,"object, owner, steward, approver, limit, escalation","Sustainable close, change control and accountability",Высокая,Руководство,Проектная матрица не утверждена,Не закрыто,"Выгрузка/регистр: RACI, лимиты и владельцы источников истины","Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-23,Высокий,Версионный реестр документов и master data,Data catalog/DMS,"source_file_id, version_id, valid_from/to, status, approver","Reproducibility, rollback, audit trail",Высокая,Data steward,"Технический реестр создан, но не встроен в процесс",Не закрыто,Выгрузка/регистр: Версионный реестр документов и master data,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
IG-24,Высокий,Корпоративный словарь данных и data contracts,Data catalog,"field, definition, format, owner, validation, refresh, sensitivity",Stable joins and automated validation,Высокая,Data steward + owners,"Предварительные contracts созданы, но не утверждены",Не закрыто,Выгрузка/регистр: Корпоративный словарь данных и data contracts,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования"
