YANINA — целевая система управленческого контроля
"Лист фиксирует не оргструктуру, а минимальный набор регулярных управленческих решений, который должен работать после внедрения."

Объект контроля,Показатель / вопрос,Ответственная функция,Периодичность,Сигнал для решения,Критерий устойчивой работы
Индивидуальный заказ,Плановый и фактический маржинальный доход,Финансы совместно с коммерческой функцией,До принятия / после закрытия,Маржа ниже порога; отклонение от плана без объяснения,Не менее 90% новых значимых заказов имеют плановую экономику до подтверждения
Незавершённое производство,"Стадия, срок, стоимость завершения, финальный платёж",Производство совместно с финансами,Еженедельно,Просрочка; рост стоимости завершения; недостаточное покрытие авансом,100% активных заказов присутствуют в реестре и имеют ответственного
Ликвидность,Минимальный остаток на 13 недель,Финансы / казначейство,Еженедельно,Прогноз ниже минимального резерва; необъяснимое отклонение,Не менее 90% суммы отклонения прогноза объясняется
Запасы,Стоимость без движения и без назначения,"Закупки, склад и финансы",Ежемесячно,Позиция без решения; новая закупка при наличии применимого остатка,Все существенные долгие позиции имеют решение и дату следующего пересмотра
Закупки,Полная стоимость поставки и проверка свободного остатка,Закупки,До заказа поставщику,Нет привязки к заказу/коллекции; не выполнена проверка склада,100% существенных закупок имеют основание и полную стоимость
Коммерческий канал,Экономический результат после прямых расходов и капитала,Коммерческая функция совместно с финансами,Ежемесячно,Высокая валовая маржа при слабом возврате капитала,Каналы сравниваются по единой методике
Затраты и производительность,"Переделки, ожидание, срочные переключения, загрузка ограничивающих ролей",Производство совместно с финансами,Еженедельно / ежемесячно,Рост потерь; перегрузка или недозагрузка ключевой роли,Потери отделены от создающей ценность работы и имеют корректирующие действия
Управленческое закрытие,"Готовность отчёта о прибыли, баланса и денег",Финансы,Ежемесячно,Закрытие позже 10-го рабочего дня; существенные несверенные суммы,Два последовательных месяца закрыты не позднее 10-го рабочего дня
Налоги,Начислено → единый налоговый счёт → уплачено,Финансы совместно с бухгалтерией,Ежемесячно / по срокам,Расхождение начисления и платежа; неясная база,Все существенные начисления и платежи связаны по периоду и юридическому лицу
Люди и выплаты,"Роль, основание выплаты, юридическое лицо, стоимость ресурса",Кадровая функция совместно с финансами,Ежемесячно,Получатель выплаты не сопоставлен с реестром,100% существенных выплат имеют понятное основание и роль
Решения собственника,"Исключения по марже, капиталу и ликвидности",Собственник / управляющий комитет,По исключениям,Решение вне утверждённых правил,"Исключение документировано, имеет причину, срок и ответственного"
Портфель индивидуальных заказов,"Маржинальный доход, часы дефицитной мощности, готовность материала и денежное покрытие","Коммерческая функция, производство и финансы",Еженедельно,Заказ вытесняет более ценный портфель или требует неподтверждённого финансирования,"Приоритет заказов учитывает одновременно экономику, мощность, материалы и деньги"
Стратегические сервисные исключения,"Причина, стоимость, влияние на срок и уровень утверждения",Коммерческая функция,По исключениям,Исключение становится повторяемой практикой без цены и решения,Каждое существенное исключение имеет экономическую классификацию и утверждение
