exec_id,wave,parallel_ok,priority,horizon,title,owner_primary,owner_support,depends_on,unlocks,impact_type,impact_detail,effort,sla_days,artifact,decision,status,gate_delta
E01,A,Y,P0,H43,RACI CONFIRM DOM-B2B = Коптева,Янина,,—,E04 B2B collect,GOVERNANCE→CASH,Разблокирует collect 2.51M,5 мин (1 подпись),3,live/marts/raci_yanina_signoff_sheet.csv,CONFIRM_CANDIDATE / REPLACE_FIO / DEFER,WAITING_CONFIRM,
E02,A,Y,P0,H46,IM POS Accept soft-slices 2026-04 (509k) + 2025-08 (37k),Сливяк,Мамушкина / Янина,—,Gate 18→20,GATE,+2 RELEASED,15–30 мин,5,live/marts/im_pos_slice_payments.csv + im_pos_yanina_signoff.csv,"ACCEPT_SOFT_SLICE (доля платежа, не весь)",WAITING_ACCEPT,+2
E03,A,Y,P0,H43,RACI CONFIRM P0: PRODUCT / COST / DATA,Янина,,—,E05 alias · E09 MD pilot · gate harden,GOVERNANCE,3 домена,10 мин,5,live/marts/raci_yanina_signoff_sheet.csv,CONFIRM кандидатов H27,WAITING_CONFIRM,
E04,B,N,P0,H42,B2B collect топ-3 (Бекеева/Нурова/Чухонцева),Коптева,Мамушкина,E01,Cash до ~2.51M (не гарантия 100%),CASH,2.51M open AR,1–2 недели,14,live/marts/b2b_call_script.csv,COLLECT / WRITEOFF per doc,BLOCKED_RACI,
E05,B,Y,P0,H44,"Alias Accept топ-5 SKU (T-2750B/C, T-3187A, …)",Коновалова,Мокеева,E03 (DOM-PRODUCT),Margin quality; later apply-pass,MARGIN,~3.04M rev contig,2–4 часа,10,live/marts/alias_konovalova_decision_sheet.csv,ACCEPT / REJECT / DEFER per SKU,BLOCKED_RACI,
E06,A,Y,P0,H45,Починить #REF! ЗП янв–фев 2026 (Распределение/Карты),Сливяк,Мамушкина (release),—,Person payroll SoT H1 2026,DATA_QUALITY,касса уже CLOSE,2–4 часа,7,live/marts/payroll_quarantine_fix_checklist.csv,FILE_REPLACE → Approver release,WAITING_FILE_FIX,
E07,B,Y,P0,H46,IM overbank: реестры ×4 месяцев,Сливяк,,E02 желательно сначала,Gate →24,GATE,+4 RELEASED,зависит от наличия реестров,14,live/marts/im_overbank_register_asks.csv,PROVIDE_REGISTER / RECLASS,WAITING_FILES,+4
E08,C,Y,P1,H40,BANK policy core−card + догрузить DDS June,Сливяк,Мамушкина,E02+E07 для max gate path,Gate →28,GATE,card alt + June DDS + 2026-02,1 файл + 1 Accept policy,10,live/client_pack/27_PRIORITY_GATE_BANK_DDS_H40.md,ACCEPT core−card OR map VTB_CARD; upload DDS,WAITING_POLICY_OR_FILE,+4..5
E09,B,Y,P1,H47,MD 2026: заполнить 26 salon cost + закрепить shop process,Мокеева,мастера / Коновалова,E03 (DOM-COST) желательно,Forward unit-econ pilot (не 2024-25),UNIT_ECON_FORWARD,salon fill 78%→≥80%+,1–2 недели,21,live/marts/md_salon_2026_missing_cost_top40.csv,FILL_cost_amount,WAITING_OPS,
E10,C,Y,P1,H41,TSUM Mercury: найти/дождаться платежи май/июнь,Сливяк / Cash,,E08 path,Gate →30,GATE,лаг +1 мес; не ставка,сверка / ожидание выписки,30,live/client_pack/28_PRIORITY_GATE_TSUM_NET_H41.md,BANK_REFRESH or TIMING policy,WAITING_BANK_OR_TIMING,+2
E11,A,Y,P1,H43,RACI остаток: PROD + SRC-CTRL 01/02/03,Янина,,E01+E03,Полный domain-owned staging,GOVERNANCE,6 строк,10 мин,7,live/marts/raci_yanina_signoff_sheet.csv,CONFIRM / SoD check,WAITING_CONFIRM,
E12,C,Y,P2,H47,Policy: no unit-econ МД 2024–25 в обещаниях,Янина,консультант,—,Честный Stage-1 close,POLICY,PERMANENT constraint,5 мин,3,live/marts/md_unit_econ_can_cannot_say.csv,ACCEPT_CONSTRAINT,WAITING_POLICY,
