metric_id,metric_name,value,unit,period,cutoff,perimeter,source,evidence_status,release_status,allowed_client_wording,prohibited_interpretation,limitation,last_updated
M001,Доля индивидуального пошива в доступном доходном контуре,84,percent,2025,2025-12-31,Доступный управленческий доходный периметр,SALES DDS and diagnostic bridge,STRONG_INDICATION,FROZEN_WITH_LIMITATION,Индивидуальный пошив формирует около 84% доступного доходного контура,Не называть бухгалтерской долей выручки компании,Denominator основан на управленческом периметре; полный consolidated P&L отсутствует,2026-08-07
M002,Объём индивидуального пошива и салонного контура,232.6,million_RUB,2025,2025-12-31,Исходная управленческая модель,SALES DDS at technical EUR/RUB 100,STRONG_INDICATION,FROZEN_WITH_LIMITATION,"По используемой управленческой модели объём контура оценивается примерно в 232,6 млн ₽",Не называть бухгалтерской выручкой,Использован технический курс EUR/RUB 100; требуется отдельное правило признания выручки,2026-08-07
M003,Товарная выручка с подтверждённой себестоимостью,72.9,million_RUB,2025,2025-12-31,Costed goods: IM+B2B+TSUM,sales lines plus COGS,PARTIAL,FROZEN_WITH_LIMITATION,"В товарном контуре с подтверждённой себестоимостью за 2025 год отражено около 72,9 млн ₽",Не сопоставлять как всю выручку компании,Не включает основной контур индивидуального пошива и не является consolidated revenue,2026-08-07
M004,ФОТ в диагностическом расходном периметре,79.6,million_RUB,30_months,2026-06-30,Диагностический expense bridge,payroll and expense bridge,STRONG_INDICATION,FROZEN_WITH_LIMITATION,"ФОТ является крупнейшим видимым операционным блоком: около 79,6 млн ₽ за 30 месяцев","Не утверждать, что ФОТ завышен или относится только к товарному бизнесу",Нет полного allocation по контурам и productivity model,2026-08-07
M005,Аренда в диагностическом расходном периметре,23.9,million_RUB,30_months,2026-06-30,Диагностический expense bridge,expense bridge,STRONG_INDICATION,FROZEN_WITH_LIMITATION,"Арендная нагрузка составила около 23,9 млн ₽ в использованном 30-месячном периметре",Не считать отдельным P&L направления,Расход обслуживает общую инфраструктуру,2026-08-07
M006,Основные операционные расходы,168.9,million_RUB,30_months,2026-06-30,Диагностический operating bridge,goods operating bridge,PARTIAL,FROZEN_WITH_LIMITATION,"В диагностическом периметре отражено около 168,9 млн ₽ основных операционных расходов",Не сопоставлять только с товарной выручкой и не использовать как consolidated OPEX,Периметр включает shared costs при неполной доходной базе,2026-08-07
M007,Налоговые денежные выплаты,45.4,million_RUB,30_months,2026-06-30,Диагностический tax cash perimeter,tax cash register,PARTIAL,FROZEN_WITH_LIMITATION,"В использованном кассовом налоговом контуре отражено около 45,4 млн ₽ выплат",Не называть начисленной эффективной налоговой нагрузкой,Cash payment не равен tax accrual; требуется ЕНС и декларационный bridge,2026-08-07
M008,Банковские операции базового регистра,4933,transactions,2024_to_2026_06,2026-06-30,Базовый банковский регистр до дополнительного intake,bank register,CONFIRMED,FROZEN_BASE_PERIMETER,Базовый банковский регистр включает 4 933 операции по зафиксированному периметру,"Не утверждать, что это 100% всех счетов и выписок компании",Дополнительный поздний bank intake исключён из headline totals до дедупликации,2026-08-07
M009,Месяцы MD to DDS reconciliation,29_of_30,months,from_2024,control_cut,MD cash versus DDS,MD DDS reconciliation,CONFIRMED,FROZEN_CONFIRMED,Денежный контур индивидуального пошива сопоставлен в 29 из 30 контрольных месяцев,Не трактовать как подтверждение прибыли или выручки по начислению,"Показывает качество cash traceability, а не unit economics",2026-08-07
M010,Bank to DDS core quality,83.3,percent,control_period,control_cut,Core bank-to-DDS reconciliation,reconciliation mart,PARTIAL,FROZEN_WITH_LIMITATION,"Ядро банка и ДДС сопоставлено примерно на 83,3% по применённой методике",Не трактовать как полную консолидацию банковского периметра,Отдельные месяцы и дополнительный intake остаются вне полного закрытия,2026-08-07
M011,Tax cash to bank quality,96.7,percent,control_period,control_cut,Tax cash bank reconciliation,tax reconciliation,STRONG_INDICATION,FROZEN_WITH_LIMITATION,"Налоговые платежи в контрольном периметре подтверждаются банком примерно на 96,7%",Не трактовать как подтверждение корректности начисления налога,Требуется разделение юридических контуров и ЕНС,2026-08-07
M012,IM acquiring quality,80,percent,control_period,control_cut,Internet acquiring reconciliation,acquiring reconciliation,PARTIAL,FROZEN_WITH_LIMITATION,Эквайринговый мост интернет-магазина закрыт примерно на 80%,Не считать полнотой выручки интернет-магазина,Есть месяцы без полного acquiring register,2026-08-07
