defect_id,source_file_id,version_id,file_name,defect_type,risk,evidence,required_action,owner_role,status,closure_evidence,formula_error_cells,external_dependency_records,hidden_sheets,detailed_patch_class,links_impacted,impacted_link_count,safe_execution_status,retest_required,closure_status
DEF-001,FILE-004,VER-002-002,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Точный дубль,Средний,Точный бинарный дубль: 6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Архивировать дубль; исключить из расчётного контура,Бухгалтерия/налоги,Открыто,,0,0,0,Owner review / structural remediation,,0,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-002,FILE-005,VER-002-003,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Точный дубль,Средний,Точный бинарный дубль: 6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Архивировать после подтверждения; master duplicate = FILE-004,Бухгалтерия/налоги,Открыто,,0,0,0,Owner review / structural remediation,LCFG-003 | LCFG-009 | LCFG-016 | LCFG-030 | LCFG-039 | LCFG-053 | LCFG-067 | LCFG-081,8,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-003,FILE-017,VER-007-001,ДДС 2024.xlsx,Внешние ссылки,Средний,Внешние ссылки на локальные пути: 2,Заменить локальные ссылки на контролируемый источник/значения закрытого периода,Финансы,Открыто,,0,2,0,Owner review / structural remediation | external dependency records=3,LCFG-102 | LCFG-108 | LCFG-172,3,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-004,FILE-019,VER-007-003,ДДС 2026.xlxs.xlsx,Внешние ссылки,Средний,Внешние ссылки на локальные пути: 2,Заменить локальные ссылки на контролируемый источник/значения закрытого периода,Финансы,Открыто,,0,2,0,Owner review / structural remediation | external dependency records=2,LCFG-022 | LCFG-045 | LCFG-059 | LCFG-073 | LCFG-087 | LCFG-104 | LCFG-110 | LCFG-174,8,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-005,FILE-070,VER-008-001,результат кол-я 43 (янв 2024).xlsx,Внешние ссылки,Средний,Внешние ссылки на локальные пути: 1 | Встроенных медиафайлов: 43,Заменить локальные ссылки на контролируемый источник/значения закрытого периода,Продуктовый блок,Открыто,,0,1,0,Owner review / structural remediation | external dependency records=1,LCFG-125,1,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-006,FILE-071,VER-009-001,результат кол-я 44 (июнь 2024).xlsx,Внешние ссылки,Средний,Внешние ссылки на локальные пути: 1 | Встроенных медиафайлов: 31,Заменить локальные ссылки на контролируемый источник/значения закрытого периода,Продуктовый блок,Открыто,,0,1,0,Owner review / structural remediation | external dependency records=1,LCFG-126,1,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-007,FILE-072,VER-010-001,результат кол-я 45 (янв 2025).xlsx,Внешние ссылки,Средний,Внешние ссылки на локальные пути: 1 | Встроенных медиафайлов: 33,Заменить локальные ссылки на контролируемый источник/значения закрытого периода,Продуктовый блок,Открыто,,0,1,0,Owner review / structural remediation | external dependency records=1,LCFG-127,1,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-008,FILE-073,VER-011-001,результат кол-я 46 (июль 2025).xlsx,Внешние ссылки,Средний,Внешние ссылки на локальные пути: 1 | Встроенных медиафайлов: 25,Заменить локальные ссылки на контролируемый источник/значения закрытого периода,Продуктовый блок,Открыто,,0,1,0,Owner review / structural remediation | external dependency records=1,LCFG-128,1,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-009,FILE-074,VER-012-001,результат кол-я 47 (янв 2026).xlsx,Внешние ссылки,Средний,Внешние ссылки на локальные пути: 1 | Встроенных медиафайлов: 32,Заменить локальные ссылки на контролируемый источник/значения закрытого периода,Продуктовый блок,Открыто,,0,1,0,Owner review / structural remediation | external dependency records=1,LCFG-129,1,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-010,FILE-040,VER-019-007,ЗП за январь 2026.xlsx,#REF!,Критический,4 × #REF!,"Исправить формулы/ошибки, повторно проверить checksum и контрольные итоги",HR/финансы,Открыто,,4,0,0,Formula patch pack prepared: #REF!=4,LCFG-087 | LCFG-088 | LCFG-089 | LCFG-090 | LCFG-091 | LCFG-095 | LCFG-101 | LCFG-185,8,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-011,FILE-038,VER-019-008,ЗП за февраль 2026.xlsx,#REF!,Критический,10 × #REF!,"Исправить формулы/ошибки, повторно проверить checksum и контрольные итоги",HR/финансы,Открыто,,10,0,0,Formula patch pack prepared: #REF!=10,LCFG-073 | LCFG-074 | LCFG-075 | LCFG-076 | LCFG-077 | LCFG-096 | LCFG-100 | LCFG-186,8,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
DEF-012,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Скрытые листы,Средний,Скрытых листов: 1,Проверить назначение скрытых листов и закрепить структуру,Финансы,Открыто,,0,0,1,Owner review / structural remediation | hidden sheets=1,LCFG-143 | LCFG-144 | LCFG-145 | LCFG-146 | LCFG-147 | LCFG-148 | LCFG-149 | LCFG-150 | LCFG-151 | LCFG-152 | LCFG-153 | LCFG-154 | LCFG-155 | LCFG-156 | LCFG-157 | LCFG-158 | LCFG-159 | LCFG-160 | LCFG-161 | LCFG-162 | LCFG-163 | LCFG-164 | LCFG-165 | LCFG-166 | LCFG-167 | LCFG-168 | LCFG-169 | LCFG-170 | LCFG-171 | LCFG-195,30,Patch specification prepared; original source unchanged,Formula/total checksum + affected links + owner acceptance,Open — evidence and approved new version required
