key_candidate_id,source_file_id,version_id,file_name,domain,sheet,source_column,source_field,normalized_field,tags,entity,data_type,nonempty,uniqueness_pct,source_key_candidate,target_system,canonical_key,source_status,confidence,decision_status,required_test,owner_role,evidence_location
KEY-0001,FILE-007,VER-022-001,SALES 2024-2026.xlsx,Финансы и денежные потоки,доходы-расходы,15,Total,total,unclassified,Не классифицировано,number,57,98.2,Да,Уточнить,,Технический кандидат,Средняя,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0002,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,1,БЮДЖЕТ НА 2-Е ПОЛУГОДИЕ 2025 Г. / Статьи бюджета,бюджет_на_2_е_полугодие_2025_г_статьи_бюджета,unclassified,Не классифицировано,text,20,100.0,Да,Уточнить,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0003,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,2,2025-07-01 00:00:00 / План,2025_07_01_00_00_00_план,budget_plan,Бюджет,number,16,100.0,Да,FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0004,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,3,Факт,факт,budget_actual,Бюджет,number,19,100.0,Да,FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0005,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,7,Факт,факт,budget_actual,Бюджет,number,19,100.0,Да,FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0006,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,9,Факт,факт,budget_actual,Бюджет,number,15,100.0,Да,FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0007,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,10,2025-11-01 00:00:00 / План,2025_11_01_00_00_00_план,budget_plan,Бюджет,number,18,100.0,Да,FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0008,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,12,2025-12-01 00:00:00 / План,2025_12_01_00_00_00_план,budget_plan,Бюджет,number,18,100.0,Да,FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0009,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,14,Итого / План,итого_план,amount; budget_plan,Бюджет; Финансовая операция,number,20,100.0,Да,ERP / финансовый регистр; FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0010,FILE-011,VER-026-001,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Лист1,15,Факт,факт,budget_actual,Бюджет,number,20,100.0,Да,FP&A / BI,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
KEY-0011,FILE-012,VER-025-001,Бюджет 2026.xlsx,Финансы и денежные потоки,лист,2,Направления/Статьи бюджета,направления_статьи_бюджета,unclassified,Не классифицировано,text,55,100.0,Да,Уточнить,,Технический кандидат,Высокая,Candidate — needs owner approval,"Null rate, duplicate rate, cross-period stability, owner sign-off",,
