link_config_id,edge_id,domain,from_file,to_file,relation,period,current_join,current_status,current_evidence,missing_key_or_control,target_join,owner_role,false_join_risk,integration_test_id,acceptance_criteria,stage27_prefill_scope,linked_request_ids,prefill_coverage_pct,stage27_precheck_status,official_retest_result,transaction_level_automation_allowed_stage27,stage27_connection_note,named_owner,required_datasets_accepted,primary_keys_confirmed,orphan_test,duplicate_test,totals_test,signed_reconciliation,target_retest_result,automation_status,evidence_link,next_action,release_readiness_score,stage29_action
LCFG-001,TAX-EDGE-001,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,Cross-form: доход ↔ вознаграждение,2024,entity + year + total amount,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Бухгалтерия,Высокий без obligation/ENS ID,IT-001,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-002,TAX-EDGE-002,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,Cross-form: доход ↔ вознаграждение,2024,entity + year + total amount,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Бухгалтерия,Высокий без obligation/ENS ID,IT-002,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-003,TAX-EDGE-003,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,Cross-form: доход ↔ вознаграждение,2025,entity + year + total amount,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Бухгалтерия,Высокий без obligation/ENS ID,IT-003,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-004,TAX-EDGE-004,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,Cross-form: доход ↔ вознаграждение,2025,entity + year + total amount,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Бухгалтерия,Высокий без obligation/ENS ID,IT-004,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-005,TAX-EDGE-005,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,НДФЛ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,НДФЛ по форме 1426958.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,IT-005,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-006,TAX-EDGE-006,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,РСВ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,РСВ по форме 3324230.37 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,IT-006,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-007,TAX-EDGE-007,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,НДФЛ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,НДФЛ по форме 1445469.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,IT-007,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-008,TAX-EDGE-008,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,РСВ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,РСВ по форме 2501487.16 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,IT-008,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-009,TAX-EDGE-009,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,НДФЛ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,НДФЛ по форме 2202651.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,IT-009,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
LCFG-010,TAX-EDGE-010,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,РСВ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,РСВ по форме 3356719.93 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,IT-010,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,CURRENT-GRAIN / OUTSIDE 19 RETESTS,,,NOT REASSESSED — CURRENT EVIDENCE PRESERVED,N/A,NO,No stage27 target-grain intake dependency; retain prior evidence and stop-gates.,,NO,NO,NOT RUN,NOT RUN,NOT RUN,NO,NOT RUN,BLOCKED,,Закрыть недостающие ключи и выполнить target-grain retest,40,CLOSE KEYS / DATA REQUESTS
