canonical_sku,fixed_lines,channels,fix_types,sale_name_sample,registry_status,action
T-2750B,15,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, черная, из шелка, на бретелях",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-2750C,7,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, белая с принтом ""оранжевые Y"", из шелка",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-3187A,6,TSUM,CATEGORY_MISMATCH,"Платье женское, темно-синее, из стрейч бархата, длина миди",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-3178,5,TSUM,UNIT_RATIO,"Майка женская, белая, из трикотажа, с вышивкой ""Перец""",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-2973A,5,TSUM,CATEGORY_MISMATCH,"Блуза женская, розовая, из хлопка, с вышивкой ""YC"" на кармане",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-3069B,5,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из шелка, на тонких бретелях c вытачками",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-2973,4,TSUM,CATEGORY_MISMATCH,"Блуза женская, белая, из хлопка, с вышивкой ""YC"" на кармане",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-1444A,4,TSUM,CATEGORY_MISMATCH,"Свитшот женский, черный, из футера, с декором принт ""дерево, птица, Yanina"", удл",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-2973B,3,TSUM,CATEGORY_MISMATCH,"Блуза женская, голубая, из хлопка, с вышивкой ""YC"" на кармане",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-2910,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, розовый, из шелка, с декором ""сетка с камнями""",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-2923,3,TSUM,CATEGORY_MISMATCH,"Блуза-топ женский, черный, из шелка, с декором ""сетка с камнями""",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-2750D,2,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, голубая, из шелка, на бретелях",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
0-3073A,2,TSUM,CATEGORY_MISMATCH,"Свитшот женский, белый, с декором принт ""MY YANINA COUTURE"", с коротким рукавом",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
0-3362,1,IM,CATEGORY_MISMATCH,"Блуза-топ женская, белая, из эко шелка, с вытачками",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
0-2027F,1,IM,CATEGORY_MISMATCH,"Платье-кафтан женское, черное с принтом ""грибы и цветы"", из шелка",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
T-3091D,1,TSUM,CATEGORY_MISMATCH,"Блуза-топ женская, черная, из бисерной ткани",ACTIVE_ALIAS_RISK,Не смешивать cost/stock без сверки имени
0-2497,0,B2B,WHOLESALE_BELOW_STOCK_COST,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с длинными рукавами и поясом ",FINANCE_REVIEW,FINANCE_CONFIRM_COST_OR_PRICE
0-2496,0,B2B,WHOLESALE_BELOW_STOCK_COST,"Платье женское, белое с принтом ""черные Y и девочки"", из батиста, с открытыми плечами",FINANCE_REVIEW,FINANCE_CONFIRM_COST_OR_PRICE
0-2493A,0,B2B,WHOLESALE_BELOW_STOCK_COST,"Платье женское, белое с принтом ""серо-черные Y"", из батиста, с широкими бретелями-завязками",FINANCE_REVIEW,FINANCE_CONFIRM_COST_OR_PRICE
0-3243,0,IM,POSSIBLE_SKU_COLLISION,"Свитшот женский, черный, из футера, с капюшоном, с вышивкой ""Be a poem""",FINANCE_REVIEW,FINANCE_CONFIRM_COST_OR_PRICE
