board_rank,priority_band,source,exec_tag,action,owner,unlocks,gate_effect,artifact,minutes_est,depends_on,status,do_not_auto_accept,so_t
1,P0_GATE,only_owner_moves,SIGN,Sign H51 / sign_session 15min,см. sign_session / wave owners,Wave A+B,18→ready Waves,sign_session_pack/,15,—,WAITING_OWNER,YES,N
2,P0_GATE,only_owner_moves,E02,Soft-slice Accept E02,см. sign_session / wave owners,gate 18→20,18→20,06_IM_SOFT_SLICE_SIGN_CARD.csv,10,sign session,WAITING_OWNER,YES,N
3,P0_GATE,only_owner_moves,E07,Fill overbank prefill channel shares,см. sign_session / wave owners,gate →24,→24,12_im_overbank_register_prefill_all.csv,30,sign session,WAITING_OWNER,YES,N
4,P0_GATE,only_owner_moves,E08,Card→DDS map OR core−card policy,см. sign_session / wave owners,gate →26,→26,wave_c/04+06,20,sign session,WAITING_OWNER,YES,N
5,P0_GATE,only_owner_moves,TAX,TAX 36k map to DDS,см. sign_session / wave owners,gate →27,→27,09_tax_cash_gap_2024_01_prefill.csv,15,sign session,WAITING_OWNER,YES,N
6,P0_GATE,only_owner_moves,FILE,Upload DDS June 2026,см. sign_session / wave owners,BANK 2026-06,BANK 2026-06,wave_c checklist,5,sign session,WAITING_OWNER,YES,N
7,P0_GATE,only_owner_moves,MERCURY,Mercury May payment / July bank refresh,см. sign_session / wave owners,gate →29,→29,07_tsum_missing_payment_tracker.csv,10,sign session,WAITING_OWNER,YES,N
8,P0_OPS,only_owner_moves,OPS,B2B calls + alias + ZP fix + salon cost,см. sign_session / wave owners,cash/margin/SoT person,cash/margin,wave_b + 17_zp,60,sign session,WAITING_OWNER,YES,N
9,P0_EXEC,master_execution_board,E01,RACI CONFIRM DOM-B2B = Коптева,Янина,E04 B2B collect,,live/client_pack/sign_session_pack/01_SIGN_CHECKBOXES.csv + live/marts/raci_yanina_signoff_sheet.csv,10,—,WAITING_CONFIRM,YES,N
10,P0_EXEC,master_execution_board,E03,RACI CONFIRM P0: PRODUCT / COST / DATA,Янина,E05 alias · E09 MD pilot · gate harden,,live/client_pack/sign_session_pack/01_SIGN_CHECKBOXES.csv,10,—,WAITING_CONFIRM,YES,N
