gap_id,priority,missing,where_should_be,required_fields,analysis_blocked,uncertainty,owner,available_workaround,status,requested_file_or_export,acceptance_criteria,candidate_fields_found,required_fields_not_found,field_evidence_class,closure_rule
IG-01,Критический,Официальный canonical SKU и alias history,MDM/1С + продуктовый блок,"canonical_sku, model_id, version_id, alias, valid_from/to",SKU/collection/order margin; production and inventory joins,Критическая,Продукт/коммерция,124 mapping-кандидата только для ручного review,Не закрыто,Выгрузка/регистр: Официальный canonical SKU и alias history,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",canonical_sku → Вышивка себестоимость 2024-2026.xlsx / Sheet1 / Наименование изделия | model_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | version_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | valid_from/to → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,alias,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-02,Критический,Остатки и движение готовой продукции,WMS/1С/склад,"inventory_movement_id, date, warehouse, SKU, qty, cost, document","COGS, turnover, aging, obsolete stock, Balance",Расчёт невозможен,Склад + финансы,Исторический список не заменяет текущий регистр,Не закрыто,Выгрузка/регистр: Остатки и движение готовой продукции,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",inventory_movement_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | date → ЗП за апрель 2025.xlsx / отчет Олейник / Дата | warehouse → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | SKU → Вышивка себестоимость 2024-2026.xlsx / Sheet1 / Наименование изделия | qty → Вышивка себестоимость 2024-2026.xlsx / План сдач / ПРИЕМ ПЕРЕДЕЛКИ | cost → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | document → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Номер документа,,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-03,Критический,Production order register и WIP,ERP/MES/производство,"production_order_id, SKU, qty, dates, status, WIP stage","Lead time, WIP, productivity, order profitability",Расчёт невозможен,Производство,163 draft rows позволяют только диагностику,Не закрыто,Выгрузка/регистр: Production order register и WIP,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",production_order_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | SKU → Вышивка себестоимость 2024-2026.xlsx / Sheet1 / Наименование изделия | qty → Вышивка себестоимость 2024-2026.xlsx / План сдач / ПРИЕМ ПЕРЕДЕЛКИ | status → Себестоимость Жукова.xlsx / 2026 / Статус оплаты,dates | WIP stage,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-04,Критический,Утверждённые версии фактической себестоимости,ERP/Cost ledger,"cost_version_id, SKU, effective_date, PO, materials, labor, overhead","SKU/collection/order margin, COGS",Высокая,Финансы + производство,82 SKU однозначно; 21 multiple; 131 missing,Не закрыто,Выгрузка/регистр: Утверждённые версии фактической себестоимости,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",cost_version_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | SKU → Вышивка себестоимость 2024-2026.xlsx / Sheet1 / Наименование изделия | PO → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | labor → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | overhead → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,effective_date | materials,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-05,Критический,История движения материалов и партии,WMS/1С,"material_movement_id, material_id, lot_id, date, qty, value, PO, production_order","Material aging, variance, obsolete stock, working capital",Расчёт невозможен,Склад + закупки,Срез на одну дату только показывает масштаб,Не закрыто,Выгрузка/регистр: История движения материалов и партии,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",material_movement_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | material_id → Вышивка себестоимость 2024-2026.xlsx / Ткани / Ткань | lot_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | date → ЗП за апрель 2025.xlsx / отчет Олейник / Дата | qty → Вышивка себестоимость 2024-2026.xlsx / План сдач / ПРИЕМ ПЕРЕДЕЛКИ | PO → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | production_order → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,value,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-06,Критический,Версионный BOM и нормы,PLM/технолог,"bom_id, bom_line_id, version_id, SKU, material_id, norm, waste","Material requirement, purchase plan, cost and variance",Высокая,Технолог + производство,Калькуляции не образуют единый BOM,Не закрыто,Выгрузка/регистр: Версионный BOM и нормы,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",bom_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | bom_line_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | version_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | SKU → Вышивка себестоимость 2024-2026.xlsx / Sheet1 / Наименование изделия | material_id → Вышивка себестоимость 2024-2026.xlsx / Ткани / Ткань | norm → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №,waste,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-07,Высокий,Детальные продажи всех каналов,POS/CRM/CMS/1С,"sales_line_id, date, order_id, SKU, qty, price, discount, return, channel","Channel/SKU margin, cohorts, seasonality, inventory issue",Высокая,Коммерция,ЦУМ/B2B агрегаты и cash channels недостаточны,Не закрыто,Выгрузка/регистр: Детальные продажи всех каналов,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",sales_line_id → SALES 2024-2026.xlsx / для Юлии (свод продаж) / СВОДНАЯ ТАБЛИЦА ПО ПРОДАЖАМ / Apr | date → ЗП за апрель 2025.xlsx / отчет Олейник / Дата | order_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | SKU → Вышивка себестоимость 2024-2026.xlsx / Sheet1 / Наименование изделия | qty → Вышивка себестоимость 2024-2026.xlsx / План сдач / ПРИЕМ ПЕРЕДЕЛКИ | price → МД — копия.xlsx / маг / цена | discount → МД — копия.xlsx / салон / скидка,return | channel,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-08,Высокий,Полный procurement cycle,ERP/закупки/DMS,"request_id, PO, supplier, material, qty, price, approval, GRN, invoice, payment","Supplier performance, PPV, lead time, 3-way match",Расчёт невозможен,Закупки,Есть supplier list и stock snapshot,Не закрыто,Выгрузка/регистр: Полный procurement cycle,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",PO → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | material → Вышивка себестоимость 2024-2026.xlsx / Ткани / Ткань | qty → Вышивка себестоимость 2024-2026.xlsx / План сдач / ПРИЕМ ПЕРЕДЕЛКИ | price → МД — копия.xlsx / маг / цена | approval → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | invoice → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | payment → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Назначение платежа,request_id | supplier | GRN,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-09,Высокий,Settlement и взаиморасчёты на уровне строк,ERP/AR/коммерция,"settlement_id, invoice, sales_line, returns, commission, net_due, payment","Sales-to-cash, AR aging, channel deductions",Высокая,Финансы + коммерция,27/29 ЦУМ и 17/17 B2B подтверждены агрегатно,Не закрыто,Выгрузка/регистр: Settlement и взаиморасчёты на уровне строк,"Полный период, первичные ID, контрольные итоги, владелец и дата формирования",settlement_id → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Дата предыдущей операции по счёту / Дата | invoice → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | commission → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | payment → Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx / Выписка по счёту / Назначение платежа,sales_line | returns | net_due,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
IG-10,Высокий,"Операции, фактические часы, брак и переделка",MES/production register,"operation_id, production_order_id, resource, start/end, hours, output, defect, rework","Capacity, productivity, bottleneck, labor cost",Высокая,Производство,475 текстовых задач,Не закрыто,"Выгрузка/регистр: Операции, фактические часы, брак и переделка","Полный период, первичные ID, контрольные итоги, владелец и дата формирования","operation_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | production_order_id → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | resource → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | hours → Вышивка себестоимость 2024-2026.xlsx / Sheet1 / Время, ч. | output → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / № | defect → Вышивка себестоимость 2024-2026.xlsx / План сдач / ПРИЕМ ПЕРЕДЕЛКИ | rework → Вышивка себестоимость 2024-2026.xlsx / Круиз 26 / №",start/end,"Есть отдельные поля, но нет контролируемого регистра","Provide controlled register with primary IDs, full period, totals, owner and acceptance test; isolated fields do not close the gap"
