YANINA — план 0–30 / 31–90 / 90–180 дней,,,,,,,,
План переводит выводы диагностики в конкретные управленческие результаты. Поле «Ответственный» оставлено для утверждения собственником.,,,,,,,,
,,,,,,,,
Период,Приоритет,Действие,Основание диагностики,Результат,Критерий приемки,Ответственный,Статус,Комментарий
0–30 дней,Критический,Ввести 13-недельный прогноз ликвидности,Кассовое давление формируется раньше банковского остатка,"Прогноз поступлений, обязательств и минимального остатка",Еженедельное обновление; ≥90% суммы отклонения объясняется,,Не начато,
0–30 дней,Критический,Создать реестр НЗП и стоимости завершения,Нет консолидированной стоимости открытых заказов,100% активных заказов в едином реестре,"Стадия, затраты, стоимость завершения, аванс, финальный платеж, срок, ответственный",,Не начато,
0–30 дней,Критический,Закрыть 15 открытых документов по корпоративным продажам (B2B),"Около 2,51 млн ₽ открытых расчётов",Каждый документ имеет итоговый статус,Оплата/частичная оплата/спор/корректировка/резерв подтверждены документно,,Не начато,
0–30 дней,Критический,Запустить разбор долгого запаса класса A,"12,87 млн ₽ / 668 позиций >365 дней",Существенные позиции имеют решение,Физическая проверка и решение по 100% класса A,,Не начато,
0–30 дней,Критический,Ввести проверку свободного остатка до закупки,Риск повторного финансирования потребности,Новая закупка имеет подтвержденное назначение,"Заявка содержит остаток, резерв, заказ/коллекцию и полную стоимость",,Не начато,
0–30 дней,Критический,Классифицировать потоки собственника,Встречные переводы и внесения искажают оценку свободных денег,Чистый поток собственника отделен от операционного,"Внесения, распределения, займы, возвраты, внутренние переводы разделены",,Не начато,
31–90 дней,Критический,Провести пилот экономики 20–30 заказов,Основной доходный продукт не имеет полной экономики,Плановая и фактическая экономика заказа,≥90% пилота с плановой экономикой; ≥80% закрытых с фактической,,Не начато,
31–90 дней,Критический,Утвердить шкалу сложности и правила изменений,Сложность и изменения создают скрытую скидку,Цена отражает сложность и изменение объема работ,"Есть классы сложности, надбавка за срочность, точка фиксации дизайна и платные изменения",,Не начато,
31–90 дней,Высокий,Построить модель ограничивающей мощности,Срочность может вытеснять более качественные заказы,8-недельный прогноз загрузки ключевых ролей,Новые заказы проходят проверку мощности,,Не начато,
31–90 дней,Высокий,Сформировать два ОПУ и слой общих расходов,Смешение контуров искажает прибыльность,ОПУ индивидуального пошива и товарных каналов,Утверждены драйверы общих расходов; оба контура сходятся в консолидацию,,Не начато,
90–180 дней,Высокий,Построить управленческий баланс и денежный мост,ДДС не показывает капитал и обязательства,"Баланс: деньги, задолженности, запас, НЗП, авансы, налоги",Прибыль объясняется через изменение капитала и денег,,Не начато,
90–180 дней,Высокий,Закрывать управленческий период не позднее десятого рабочего дня (D+10),Управленческая реакция запаздывает,Регулярный управленческий пакет,Закрытие не позднее десятого рабочего дня (D+10) два последовательных месяца,,Не начато,
90–180 дней,Высокий,Провести налоговые сценарии и юридическую проверку,Номинальная ставка не равна полной налоговой стоимости,Выбранная модель по юридическим лицам,"Расчет 22%/5%/7%, входного/ввозного НДС, цены, ликвидности; внешнее заключение",,Не начато,
90–180 дней,Высокий,Сформировать единый кадрово-платежный реестр,Реестр персонала и выплаты не синхронизированы,"Один источник ролей, оснований и стоимости","Каждая выплата имеет получателя, основание, роль и юридический контур",,Не начато,
