object,accountable,responsible,approver,consulted_informed
Юридические лица/счета,Финансы,Финансы,Руководство,Юристы/аналитика
Платежи/ДДС/закрытие,Финансы,Финансы,Финансовый директор/руководство,Коммерция/аналитика
Сотрудники/ФОТ,HR,HR/расчётчик,Руководство/финансы,Налоги/аналитика
Налоговые обязательства/ЕНС,Налоги/бухгалтерия,Налоги/бухгалтерия,Финансы,Руководство/аналитика
Коллекции/модели/SKU,Продуктовый блок,Data steward продукта,Коммерческий/креативный руководитель,Производство/финансы
BOM/технология,Технолог,Технолог,Производство/продукт,Закупки/финансы
Материалы/партии,Закупки/склад,Складской data steward,Закупки/финансы,Производство
Production orders/WIP,Производство,Планирование производства,Руководитель производства,Финансы/склад
Операции/часы/брак,Производство,Участки/мастера,Руководитель производства,HR/финансы
Cost versions,Финансы,Cost accountant,Финансовый директор,Продукт/производство
Продажи/возвраты,Коммерция,POS/CRM owner,Коммерческий директор,Склад/финансы
Settlement/AR,Финансы,Коммерция + финансы,Финансовый директор,Аналитика
Договоры/лимиты,Юристы,DMS steward,Руководство,Финансы/закупки
Data catalog/versioning,Data steward,Data steward,Data governance owner,Все владельцы
BI/аналитика,Аналитика,Data engineering/аналитика,Владелец бизнеса,Все функции
