action_id,request_id,domain,dataset,field_name,reason_missing,required_source,owner_role,named_owner,due_date,evidence_link,status,acceptance_test,blocked_analysis,linked_retests,wave,priority_order,blocks_release
ACT-REQ-ST24-G01-owner_name,REQ-ST24-G01,ST24-G01,Governance,owner_name,ABSENT,0,5,,,,OPEN,Руководство + владельцы доменов,Перевод Controlled Staging → Source of Truth,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
ACT-REQ-ST24-G01-approver_name,REQ-ST24-G01,ST24-G01,Governance,approver_name,ABSENT,0,5,,,,OPEN,Руководство + владельцы доменов,Перевод Controlled Staging → Source of Truth,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
ACT-REQ-ST24-G01-approval_date,REQ-ST24-G01,ST24-G01,Governance,approval_date,ABSENT,0,5,,,,OPEN,Руководство + владельцы доменов,Перевод Controlled Staging → Source of Truth,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
ACT-REQ-ST24-G01-evidence_link,REQ-ST24-G01,ST24-G01,Governance,evidence_link,ABSENT,0,5,,,,OPEN,Руководство + владельцы доменов,Перевод Controlled Staging → Source of Truth,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
ACT-REQ-ST24-G02-custodian,REQ-ST24-G02,ST24-G02,Governance,custodian,ABSENT,0,2,,,,OPEN,HR + IT,100% доказательство происхождения повреждённых ссылок,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W0 Governance,1,YES
ACT-REQ-ST24-G03-employee_id,REQ-ST24-G03,ST24-G03,Payroll,employee_id,ABSENT,0,25,,,,OPEN,HR + финансы,Employee/batch-level payroll payment reconciliation,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G04-tax_base,REQ-ST24-G04,ST24-G04,Payroll,tax_base,ABSENT,0,162,,,,OPEN,HR + финансы,Полная стоимость труда; начисление↔выплата; налоги на уровне сотрудника,"Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G05-legal_entity_id,REQ-ST24-G05,ST24-G05,Cash,legal_entity_id,PARTIAL,50,4,,,,OPEN,Финансы,"Полный cash balance, liquidity, owner/card movements","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G05-currency,REQ-ST24-G05,ST24-G05,Cash,currency,PARTIAL,62.5,3,,,,OPEN,Финансы,"Полный cash balance, liquidity, owner/card movements","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
ACT-REQ-ST24-G05-opening,REQ-ST24-G05,ST24-G05,Cash,opening,ABSENT,0,8,,,,OPEN,Финансы,"Полный cash balance, liquidity, owner/card movements","Получить/подтвердить поле, загрузить в шаблон, пройти validation rule и приложить evidence.",W1 Payroll-Cash-Tax,2,YES
