link_config_id,edge_id,domain,from_file,from_source_file_ids,from_version_ids,to_file,to_source_file_ids,to_version_ids,relation,period,current_join,current_status,status_class,current_evidence,missing_key_or_control,target_join,analysis_enabled,owner_role,false_join_risk,migration_wave,integration_test_id,acceptance_criteria,configuration_state,automatable_now,stop_gate,owner_name,evidence_location,execution_status,current_join_tokens,target_join_tokens,from_field_candidates,to_field_candidates,source_defects_touching_link,technical_retest_status,after_remediation_assessment,field_lineage_rows,production_automation_allowed
LCFG-001,TAX-EDGE-001,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,VER-002-001,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,VER-021-001,Cross-form: доход ↔ вознаграждение,2024,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-001,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,entity | year | total_amount,employer_id | employee_id | accrual_period,,,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-002,TAX-EDGE-002,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,VER-001-001,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,VER-020-001,Cross-form: доход ↔ вознаграждение,2024,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-002,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,entity | year | total_amount,employer_id | employee_id | accrual_period,,,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-003,TAX-EDGE-003,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,VER-002-003,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,Cross-form: доход ↔ вознаграждение,2025,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-003,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,entity | year | total_amount,employer_id | employee_id | accrual_period,,,Точный дубль,PASS at current grain; source technical retest required,Evidence status unchanged; technical reproducibility improves after defect closure,3,No
LCFG-004,TAX-EDGE-004,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,FILE-003,VER-001-002,Расчет по страховым взносам за 2025 г. (ДЕКОР ООО).pdf,FILE-066,VER-020-002,Cross-form: доход ↔ вознаграждение,2025,entity + year + total amount,Подтверждено,Подтверждено,Разница 0.00 руб.,employee_id / accrual_period для первичного уровня,employer_id + employee_id + accrual_period,Годовая согласованность форм,Бухгалтерия,Высокий без obligation/ENS ID,Wave 2,IT-004,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Configured — controlled current link,"Да, только на текущем grain",Автоматизация допустима после owner sign-off и регулярного теста,,,Draft,entity | year | total_amount,employer_id | employee_id | accrual_period,,,,PASS at current grain,Ready for owner sign-off at current grain,3,After owner sign-off and scheduled test
LCFG-005,TAX-EDGE-005,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-002,VER-002-001,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,НДФЛ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,НДФЛ по форме 1426958.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-005,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-006,TAX-EDGE-006,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (Янина Ю. Ф. ИП).pdf,FILE-065,VER-021-001,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,РСВ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,РСВ по форме 3324230.37 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-006,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-007,TAX-EDGE-007,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,FILE-001,VER-001-001,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,НДФЛ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,НДФЛ по форме 1445469.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-007,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-008,TAX-EDGE-008,Налоги/ФОТ,Расчет по страховым взносам за 2024 г. (ДЕКОР ООО).pdf,FILE-064,VER-020-001,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,FILE-008,VER-003-001,РСВ obligation ↔ cash payment,2024,entity + year + purpose text,Частично,Частично,РСВ по форме 2501487.16 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-008,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
LCFG-009,TAX-EDGE-009,Налоги/ФОТ,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-005,VER-002-003,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,НДФЛ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,НДФЛ по форме 2202651.00 руб.; платежи классифицированы по назначению,ens_allocation_id и due_date,obligation_id → ens_allocation_id → bank_payment_id,Погашение НДФЛ по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-009,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,Точный дубль,BLOCKED for production join — missing primary key/register,Evidence status unchanged; technical reproducibility improves after defect closure,3,No
LCFG-010,TAX-EDGE-010,Налоги/ФОТ,Расчет по страховым взносам за 2025 г. (Янина Ю. Ф. ИП).pdf,FILE-067,VER-021-002,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,FILE-010,VER-006-001,РСВ obligation ↔ cash payment,2025,entity + year + purpose text,Частично,Частично,РСВ по форме 3356719.93 руб.; monthly hints доступны только за последние 3 месяца,ens_allocation_id и полный monthly obligation register,obligation_id → ens_allocation_id → bank_payment_id,Погашение взносов по периодам — не доказано,Бухгалтерия/Финансы,Высокий без obligation/ENS ID,Wave 2,IT-010,Join выполняется по primary IDs; orphan/duplicate rate = 0 или утвержденный exception; totals reconciled,Draft — target key/registry required,Нет,STOP до появления primary ID/недостающего регистра,,,Draft,entity | year | purpose_text,obligation_id | ens_allocation_id | bank_payment_id,,,,BLOCKED for production join — missing primary key/register,No technical-source change; structural gap remains,3,No
