area,status,evidence,missing,unblock
Два контура финансов,DONE,"client_pack/01,11; maps/01",единый P&L как KPI,политика P-A; не смешивать bridge
Товарная маржа,DONE,marts/margin_*; 11 §1.3,SKU aliases ACCEPT,Product watchlist
Dual TSUM,DONE,margin_channel_views_h28; 11 §1.4,договорной %,D-TSUM-RATE-01
Сценарии S1-S4,DONE,OPTIMIZATION_SCENARIOS,гарантированный эффект,исполнение сценариев
RACI,DONE,BUSINESS_STRUCTURE H27,ритм SME ЦУМ,регулярный контур Меркушина
Release gate,DONE,release_gate_month; 11,BLOCKED≤8-9,закрыть IM/BANK fails
Карты процессов/данных,DONE,maps/00-15,BPMN to-be внедрение,Этап 3
Master scheme,DONE,18_MASTER_SCHEME_CLIENT,—,—
Bank↔DDS,PARTIAL,recon_bank_dds; controls 83.3%,5 WIDE_GAP; DDS 2026-06,разбор + файл DDS
IM acquiring,PARTIAL,recon_im_combo; gate IM×6,6 OPEN реестры,D-IM-REG-01
B2B settle,PARTIAL,data_request_b2b_open,collect 2.51M,D-B2B-01
OTHER_IN POS,PARTIAL,layer4/5; 62.3M IP,ACCEPT ACQ_POS,D-ACQ-POS-01
Invoice↔МД,PARTIAL,md_invoice_surname_links,payment-level,D-MD-INV-01
Payroll totals,PARTIAL,recon_payroll_multi,19 NO_LINES; split,D-PAY-LINES-01
Tax cash,READY_FOR_SIGN,H76: 3/4 SOFT/GAP = Salon UFK; 36k evidence,Owner perimeter sign,14_TAX_SOFT + 11_TAX_36K
Ткани WC,PARTIAL,material_meta ~28.6M,ABC-aging,Этап 2
Decor wind-down,PARTIAL,01 §6; 11 §6,tags periметра,I06 ACCEPT
KPI/SOP/дашборд drafts,PARTIAL,"07,08,STAGE1_PLUS",внедрение в бою,Этап 3
МД unit-econ,BLOCKED_NO_DATA,maps/12; cost fill 0%,cost/WIP заказа,D-MD-COST-01 + пилот
Фурнитура,BLOCKED_NO_DATA,02 C04; maps/01 P06,учёт 1С,мини-регистр
Единый audited P&L,NOT_DONE,11 §0§8; SOT_POLICY,Phase C,G1-G3 + MD contrib
Stage 2+ внедрение,NOT_DONE,05_RECOMMENDATIONS; 00_README,proxy МД ABC live KPI BI,после P0 S1
Payroll designers↔collections,DONE_INDICATIVE,H73 KPI/smetka bridge,—,Wave B 34–37
Payroll цех↔collections/stock,DONE_INDICATIVE,H74 portn bridge ~2.51M,stock hit rare (expected),Wave B 38–42
Goods stock↔IM/TSUM sell-through,DONE_INDICATIVE,H75 226 STOCK_NO_SALES; 36 HIGH,owner markdown decisions,Wave B 43–46
SALES↔budget income sanity,DONE_INDICATIVE,H77 MATCH 2026-02..05; Jan=deposit,June 2026 fact,DDS June file
