file_id,file_name,domain,current_state,target_system,target_register,lifecycle,required_action,owner_candidate
FILE-001,6-НДФЛ (с 2021 года) за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-002,6-НДФЛ (с 2021 года) за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-003,6-НДФЛ (с 2021 года) за 2025 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-004,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Налоги и обязательная отчётность,"Есть, но дубль",Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Archive/Exclude,Архивировать дубль; исключить из расчётного контура,Tax ledger + ENS register + DMS
FILE-005,6-НДФЛ (с 2021 года) за 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,"Есть, но дубль",Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Archive/Exclude,Архивировать дубль; исключить из расчётного контура,Tax ledger + ENS register + DMS
FILE-006,NDA_ИП_Янина + паспорт.docx,Договоры и проектные документы,Есть,DMS/GRC,"Договоры, NDA, регламенты, approvals",Protected DMS,Хранить только в защищённом DMS; не загружать в аналитические витрины,DMS/GRC
FILE-007,SALES 2024-2026.xlsx,Финансы и денежные потоки,Есть частично/с ограничениями,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,ERP/1С + Bank hub + DWH
FILE-008,VTB_BankStatement_40702810804000008482_01.01.2024-22.06.2026_376277.pdf,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-009,VTB_BankStatement_40802810404000000049_01.01.2024-22.06.2026_417016.pdf,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-010,VTB_BankStatement_40802810500000006196_01.01.2024-22.06.2026_417014.pdf,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-011,Бюджет 2-е полугодие 2025(1).xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-012,Бюджет 2026.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-013,Выписка_40802810202620002686_01.01.2024–31.12.2024.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-014,Выписка_40802810202620002686_01.01.2025–31.12.2025.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-015,Выписка_40802810202620002686_01.01.2026–23.06.2026.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-016,Вышивка себестоимость 2024-2026.xlsx,Себестоимость и производство,Есть,PLM/ERP/MES,"BOM, production order, операции, cost version",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,PLM/ERP/MES
FILE-017,ДДС 2024.xlsx,Финансы и денежные потоки,Есть частично/с ограничениями,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-018,ДДС 2025.xlsx,Финансы и денежные потоки,Есть,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-019,ДДС 2026.xlxs.xlsx,Финансы и денежные потоки,Есть частично/с ограничениями,ERP/1С + Bank hub + DWH,"Платежи, ДДС, бюджеты, остатки, AR/AP",Quarantine/Fix,Карантин → исправление → контрольная загрузка,ERP/1С + Bank hub + DWH
FILE-020,Декларация по НДС за 1 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-021,Декларация по НДС за 1 квартал 2026 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-022,Декларация по НДС за 2 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-023,Декларация по НДС за 3 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-024,Декларация по НДС за 4 квартал 2025 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-025,Декларация по УСН за 2024 г. (ДЕКОР ООО).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-026,Декларация по УСН за 2024 г. (Янина Ю. Ф. ИП).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-027,Декларация по УСН за 2025 г. (ДЕКОР ООО)(1).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-028,Декларация по УСН за 2025 г. (Янина Ю. Ф. ИП)(1).pdf,Налоги и обязательная отчётность,Есть,Tax ledger + ENS register + DMS,"Декларации, обязательства, уведомления, ЕНС",Quarantine/Fix,Карантин → исправление → контрольная загрузка,Tax ledger + ENS register + DMS
FILE-029,Договор_комплексной_диагностики_ИП_Янина_+_паспорт.docx,Договоры и проектные документы,Есть,DMS/GRC,"Договоры, NDA, регламенты, approvals",Protected DMS,Хранить только в защищённом DMS; не загружать в аналитические витрины,DMS/GRC
FILE-030,ЗП за апрель 2025.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Migrate then Read-only,Мигрировать данные в целевой регистр; файл оставить read-only выгрузкой/архивом,HRIS/ЗУП + Payroll ledger
FILE-031,ЗП за апрель 2026.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-032,ЗП за июнь 2025.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
FILE-033,ЗП за май 2025.xlsx,Персонал и оплата труда,Есть,HRIS/ЗУП + Payroll ledger,"Сотрудники, начисления, реестры выплат",Quarantine/Fix,Карантин → исправление → контрольная загрузка,HRIS/ЗУП + Payroll ledger
