YANINA — экономика индивидуального заказа
"Цель листа: показать, какие факторы делают высокий чек экономически сильным или слабым и что требуется измерять до подтверждения заказа."

Фактор,Что видно по итогам диагностики,Экономическое следствие,Как измерять на следующем этапе,Правило решения,Статус доказательности
Материалы,Полная стоимость материалов и фурнитуры не связана с заказом в одном регистре.,Маржа заказа может быть переоценена; деньги уходят до финальной оплаты.,"Материал, фурнитура, логистика, пошлины, ввозной НДС, остаток после заказа.",Заказ не подтверждается без стоимости материала и проверки свободного остатка.,Подтверждено как разрыв
Прямой труд,Фактические часы ключевых ролей не собираются системно на уровне заказа.,"Высокая загрузка не показывает, создаёт ли заказ достаточный маржинальный доход.","Часы по ролям, план/факт, стоимость часа ограничивающей роли.",Сложный заказ оценивается с учётом потребления ограничивающей мощности.,Подтверждено как разрыв
Примерки и изменения,Дополнительные итерации не всегда имеют отдельную цену и причину.,Дополнительная работа превращается в скрытую скидку.,"Количество примерок, причина изменения, дополнительная стоимость и срок.",После фиксации дизайна новый объём работ меняет цену и/или срок.,Сильный диагностический вывод
Срочность,"Срочный заказ влияет не только на свои затраты, но и на последовательность портфеля.","Возможны сверхурочная работа, срочная логистика и вытеснение других заказов.","Дополнительные часы, логистика, изменения графика других заказов.",Надбавка за срочность должна покрывать прямые затраты и влияние на мощность.,Сильный диагностический вывод
Переделки,Переделка не отделена от создания клиентской ценности в полной экономике заказа.,"Растут труд, материалы и срок; финальный платёж откладывается.",Часы и материалы переделок; причина; ответственный.,Каждая переделка имеет причину и корректирующее действие.,Подтверждено как разрыв
Незавершённое производство,Нет полного реестра стоимости открытых заказов и будущей стоимости завершения.,Банковский остаток может быть ошибочно принят за свободные деньги.,"Уже понесённые затраты, стоимость завершения, аванс, финальный платёж, срок.",Открытый заказ еженедельно пересчитывается по стоимости завершения.,Подтверждено
Цена и скидка,Высокий чек сам по себе не подтверждает достаточную прибыль.,Экономически слабая сложность может быть скрыта высокой ценой заказа.,Плановый маржинальный доход и фактический результат после закрытия.,До подтверждения заказа действует минимальный порог маржинального дохода.,Подтверждено как методологический разрыв
Денежный цикл,Поступление аванса видно раньше полного объёма будущих расходов.,Полученный аванс может восприниматься как свободная ликвидность.,График поступлений и обязательных выплат до завершения заказа.,График клиента должен покрывать будущую стоимость исполнения и минимальный денежный резерв.,Сильный диагностический вывод
Портфель заказов,Даже прибыльный заказ может потреблять непропорционально много дефицитной мощности или денег в пиковый период.,"Абсолютная маржа одного заказа не показывает его влияние на сроки, другие заказы и ликвидность портфеля.","Маржинальный доход, часы ограничивающих ролей, готовность материала, денежное покрытие, срок.","Приоритет портфеля определяется совокупностью экономики, мощности, материала и денег.",Профессиональная интерпретация
Стратегическое исключение,Для значимого клиента или проекта могут быть оправданы условия ниже обычного финансового порога.,Без формализации исключение становится повторяемой утечкой маржи.,"Причина исключения, экономическая стоимость, влияние на мощность и ликвидность, уровень утверждения.",Исключение фиксируется отдельно и не становится новым неформальным стандартом цены или сервиса.,Профессиональная интерпретация
Стоимость персонального сервиса,"Дополнительные примерки, персональная логистика и срочные согласования могут быть частью премиального индивидуального сервиса, но их стоимость видна неполно.",Сервис может незаметно превращаться в неучтённую скидку.,"Часы, логистика, дополнительные операции, причина и решение об оплате/инвестиции в отношения.","Каждое существенное исключение классифицируется: оплачиваемое изменение, стратегическая инвестиция в отношения или внутренний сбой.",Профессиональная интерпретация
